Date,ML Logistic Base,ML Logistic + VRP,ML Random Forest Base,ML Random Forest + VRP,ML Gradient Boosting Base,ML Gradient Boosting + VRP
2015-09-30,1.0,1.0,1.0,1.0,1.0,1.0
2015-10-31,0.0990582800578137,0.15223599065131754,0.20919684591235826,0.2940839452098096,0.2185412673796951,0.49015194712168064
2015-11-30,0.06772828768484263,0.07484232578141309,0.17756407098540516,0.10961002074685133,0.4389659860860635,0.5045829772875612
2015-12-31,0.007010694549381746,0.018381589534089915,0.16986546820948623,0.07222472834509563,0.0633769012087686,0.17582974206953
2016-03-31,0.09791827134506659,0.15812304708683728,0.33692344922131934,0.40757162080447107,0.10196966212688441,0.25128293932110907
2016-04-30,0.21755733543855554,0.2640081842958835,0.4420750936608062,0.4111507154134699,0.6036985874088507,0.5838238998708305
2016-05-31,0.005325768096728523,0.005617100331000546,0.11266678657608176,0.012026903970683733,0.2314037816940398,0.18369408919807956
2016-06-30,0.1414634405083155,0.1530152281779505,0.03023860217487001,0.1488035149598868,0.08799592653252108,0.181793234182194
2016-07-31,0.04817074288166895,0.05332545381246989,0.07104046889283067,0.029174180092877477,0.30913394135651356,0.3594800763876586
2016-08-31,0.2068360734799466,0.21101353763850872,0.20276530400300213,0.24880898430203202,0.748523345342244,0.8322215554989787
2016-09-30,0.13204302389553974,0.13283838884542293,0.05298116555819604,0.16598031120542572,0.07877049264699515,0.400141818017431
2016-12-31,0.04964752124217653,0.021502706785505366,0.0526366282943736,0.18334784599397402,0.027532538500882053,0.34298640668642627
2017-01-31,0.010541476696194596,0.026843346178908156,0.06347682145929623,0.08335713163986602,0.06487094560488221,0.2019534553097424
2017-02-28,0.3047095633780135,0.1626038206095708,0.1641775802753278,0.03255625611695728,0.08030463167624924,0.1478702390526454
2017-03-31,0.09048647040692415,0.2906805098308054,0.01940996486958313,0.046150551812002893,0.3849091257619164,0.24351044369419028
2017-04-30,0.13422608683642867,0.1757288151007792,0.2081046201524026,0.2017633320175911,0.0643383133672688,0.08063398936549954
2017-05-31,0.08672613166298127,0.023168569086337465,0.08524252238476548,0.12888341096639322,0.07232736251080207,0.200117822548169
2017-06-30,0.014441033518318713,0.07458528620605231,0.03404874705380112,0.3098435495595797,0.24568945217379912,0.7690417533923755
2017-07-31,0.061134591315642695,0.0787345190398161,0.09841477527920484,0.0028856452864907123,0.17739691147430015,0.02215145464359347
2017-08-31,0.07422382534467697,0.06818462566894512,0.07817404607966916,0.050623918978050186,0.0021664229722166972,0.028680250391310613
2017-09-30,0.046674894099534514,0.08030595198841817,0.19577562974677631,0.2198341086521347,0.16848951635677456,0.2289151113629999
2017-10-31,0.052783209156196165,0.04579102585691075,0.19068595152518952,0.020287521121459928,0.1589405705676996,0.08817781581827178
2017-11-30,0.01709245539559312,0.03452813790902054,0.017946569315589356,0.13921131556551325,0.00926044862479114,0.12385025560419383
2017-12-31,0.04886453693077719,0.01893292568001481,0.0063223139155101915,0.07296444434052529,0.006294569483713319,0.04204821199282116
2018-01-31,0.007134415040294773,0.00914651102398678,0.07037175085661951,0.07909345790358824,0.12686180796914126,0.06123118294732355
2018-02-28,0.1686594702580737,0.15776732655287407,0.13766948488322206,0.13695075529977152,0.058442304130527756,0.36490345022482673
2018-03-31,0.02035229307445463,0.03487361124886679,0.09773064960090672,0.1147316443937414,0.10149776010157141,0.2290859235487348
2018-04-30,0.01371032718138454,0.01353031268920879,0.032666534888080356,0.06061377400439527,0.006685590136890518,0.13282960457967885
2018-05-31,0.067789591549265,0.04053127090182085,0.15823736632179575,0.0961374104656183,0.3378402814466812,0.3992723970904226
2018-06-30,0.048195578072741885,0.02466471008418969,0.03769801259426164,0.07921671529310181,0.0744809433470745,0.03261921534849499
2018-07-31,0.2163649859933332,0.23103940068253004,0.17561473064304228,0.06471729429620576,0.20591297320993623,0.04844219488228152
2018-08-31,0.09824577692025627,0.0832196950321269,0.18656049661314494,0.05840948216152042,0.3266612207659354,0.2540711908617579
2018-09-30,0.16846194275034398,0.15168052464531057,0.05498010720638136,0.053932877195391526,0.028223606602994833,0.05052820479597586
2018-10-31,0.005765207112168547,0.02346565008455892,0.18425890111193,0.09279201499829481,0.36233300297990456,0.4400041723563768
2018-11-30,0.3613230098194793,0.34443431209462294,0.4381820650445303,0.3195028475413369,0.7150084073130181,0.6574059908271392
2018-12-31,0.10575420921178891,0.10911313303962933,0.13569139511434103,0.07436185900763898,0.03346040225801278,0.025364340559363152
2019-01-31,0.005127122880993262,0.09390711106035798,0.23634758386518628,0.32172219069930397,0.565376231200658,0.6258141960577501
2019-02-28,0.3272613400166613,0.3814063717218501,0.11965451824721507,0.0047628340633101285,0.19624964309545767,0.09791206694528709
2019-03-31,0.19280112134342686,0.17277922546478686,0.11773502067725117,0.05897919043025879,0.06557341337417122,0.08276237200008896
2019-04-30,0.0417336030756148,0.052580362142803816,0.06225798011976069,0.10236078479966104,6.838912627271654e-05,0.0820225541551749
2019-05-31,0.1369074419772831,0.08393623698051655,0.04110981133599445,0.08506739222900794,0.033117970198248026,0.031804186647338195
2019-06-30,0.016060583420997476,0.019318188373899092,0.06696956025812817,0.1326828273092846,0.2287765354393385,0.13785585261263167
2019-07-31,0.0347053963665902,0.01411631552292758,0.10686045223135632,0.08940287495356936,0.033663381027994266,0.07360076902587864
2019-08-31,0.053806019213139766,0.09925199614236613,0.011396764887686484,0.013258383807636998,0.0005946576760136324,0.12165221066677412
2019-09-30,0.2759098188318512,0.25690666405068097,0.022024744541140118,0.07568356492334805,0.03624437814714132,0.08176292958330866
