Market,Strategy,Gamma,Obs,Start,End,Ann. Arithmetic Mean,Ann. Geometric Return,Ann. Vol,MV CEQ Ann.,CRRA CE Ann.,Min Monthly Return,CRRA Domain Valid,Delta MV CEQ Ann. vs 60/40,Delta MV CEQ CI Low vs 60/40,Delta MV CEQ CI High vs 60/40,Delta MV CEQ Positive vs 60/40,Delta CRRA CE Ann. vs 60/40,Delta CRRA CE CI Low vs 60/40,Delta CRRA CE CI High vs 60/40,Delta CRRA CE Positive vs 60/40,Bootstrap P(Delta MV <= 0) vs 60/40,Bootstrap P(Delta CRRA <= 0) vs 60/40,Fee Eq. bps vs 60/40,CRRA Fee Eq. bps vs 60/40,Delta MV CEQ Ann. vs 1/N Equity-Bond,Delta MV CEQ CI Low vs 1/N Equity-Bond,Delta MV CEQ CI High vs 1/N Equity-Bond,Delta MV CEQ Positive vs 1/N Equity-Bond,Delta CRRA CE Ann. vs 1/N Equity-Bond,Delta CRRA CE CI Low vs 1/N Equity-Bond,Delta CRRA CE CI High vs 1/N Equity-Bond,Delta CRRA CE Positive vs 1/N Equity-Bond,Bootstrap P(Delta MV <= 0) vs 1/N Equity-Bond,Bootstrap P(Delta CRRA <= 0) vs 1/N Equity-Bond,Fee Eq. bps vs 1/N Equity-Bond,CRRA Fee Eq. bps vs 1/N Equity-Bond
US,Synthetic Pure VRP Proxy,1.0,184,2011-04-30,2026-07-31,0.338597232447474,0.3874605634624442,0.11617938548609183,0.33184840764151097,0.38746056346244395,-0.0918682423644182,True,0.24178428038568414,0.19209510720229045,0.3049355117532933,True,0.2935561500389814,0.2294341047137441,0.3816003987540622,True,0.0,0.0,2417.8428038568413,2935.561500389814,0.2525201980710924,0.20208103345515677,0.31762806226633544,True,0.30516297756060773,0.23972480637195528,0.3964375178738262,True,0.0,0.0,2525.2019807109236,3051.629775606077
US,Buy-and-Hold Equity,1.0,184,2011-04-30,2026-07-31,0.1413971124429101,0.13957373626488878,0.1420391373327036,0.13130955417580079,0.1395737362648901,-0.1248712409272528,True,0.04124542691997396,0.020972190936128232,0.06214444596632165,True,0.04566932284142755,0.022235025536791905,0.07155898220811144,True,0.0,0.0,412.4542691997396,456.6932284142755,0.0519813446053822,0.026682396700587113,0.07809764791980954,True,0.05727615036305389,0.028125143116340467,0.0892134580744288,True,0.0,0.0,519.813446053822,572.7615036305389
US,RSM RV + Raw VRP,1.0,184,2011-04-30,2026-07-31,0.09727466115702856,0.09606406710339166,0.10254303721588261,0.09201712391629961,0.09606406710339055,-0.1009697131128694,True,0.001952996660472786,-0.011242448024810042,0.017303284263220114,False,0.0021596536799279864,-0.012356940997799382,0.018646716024067762,False,0.355,0.3535,19.52996660472786,21.596536799279864,0.012688914345881028,-0.0008213408005626706,0.028191967930979465,False,0.013766481201554326,-0.000848676926258518,0.030315245505423683,False,0.0335,0.0335,126.88914345881028,137.66481201554325
US,60/40,1.0,184,2011-04-30,2026-07-31,0.0943069762882626,0.09390441342346367,0.09211784878551788,0.09006412725582683,0.09390441342346256,-0.0770922486000828,True,0.0,0.0,0.0,False,0.0,0.0,0.0,False,1.0,1.0,0.0,0.0,0.010735917685408242,0.0056666198393559965,0.01595261498467994,True,0.01160682752162634,0.006024006779692936,0.017654997877065638,True,0.0,0.0,107.35917685408242,116.0682752162634
US,HMM RV + Log VRP (partial 0.25),1.0,184,2011-04-30,2026-07-31,0.08735290937556345,0.08693791820451047,0.08618566513601572,0.08363892493809473,0.08693791820450958,-0.0735418699342671,True,-0.0064252023177320955,-0.019426998909014247,0.0054663334684180945,False,-0.006966495218952984,-0.020961799931365772,0.005885980952865144,False,0.846,0.847,-64.25202317732095,-69.66495218952984,0.004310715367676146,-0.009313284895532124,0.017792403074108152,False,0.004640332302673356,-0.009893512572077568,0.019399403555675963,False,0.2385,0.2385,43.10715367676146,46.40332302673356
US,HMM RV + Log VRP (full),1.0,184,2011-04-30,2026-07-31,0.08390789107335991,0.08356720525275096,0.08237110620085422,0.08051539150498371,0.08356720525275163,-0.0583794362721516,True,-0.009548735750843113,-0.025417699124115935,0.00926263960178937,False,-0.010337208170710932,-0.027371526364383197,0.00996881504569702,False,0.791,0.7905,-95.48735750843113,-103.37208170710932,0.001187181934565129,-0.015785753108403446,0.020760625888661278,False,0.0012696193509154075,-0.016790043542140816,0.0226757548487294,False,0.3465,0.3465,11.871819345651291,12.696193509154075
US,1/N Equity-Bond,1.0,184,2011-04-30,2026-07-31,0.08257103426962824,0.08229758590183689,0.08053352965330211,0.07932820957041858,0.08229758590183622,-0.0669755663537769,True,-0.010735917685408242,-0.01595261498467994,-0.005666619839355997,False,-0.01160682752162634,-0.017654997877065638,-0.006024006779692951,False,1.0,1.0,-107.35917685408242,-116.0682752162634,0.0,0.0,0.0,False,0.0,0.0,0.0,False,1.0,1.0,0.0,0.0
US,Synthetic Pure VRP Proxy,3.0,184,2011-04-30,2026-07-31,0.338597232447474,0.3874605634624442,0.11617938548609183,0.31835075802958507,0.36933540226854356,-0.0918682423644182,True,0.23677232883862978,0.18714861879451708,0.3004154578463359,True,0.28465948530062124,0.22067956078303028,0.37204962437782835,True,0.0,0.0,2367.723288386298,2846.5948530062124,0.24550819785758576,0.19468607502540883,0.3110196370722588,True,0.29402064125745797,0.22709825505578077,0.38379236590028576,True,0.0,0.0,2455.0819785758576,2940.2064125745796
US,Buy-and-Hold Equity,3.0,184,2011-04-30,2026-07-31,0.1413971124429101,0.13957373626488878,0.1420391373327036,0.11113443764158215,0.11675059827471168,-0.1248712409272528,True,0.029556008450626864,0.007262527024414478,0.051763145779963035,True,0.032074681306789365,0.007249461974684729,0.058156133049573504,True,0.009,0.01,295.56008450626865,320.74681306789364,0.03829187746958286,0.010760496192463715,0.0658147183746692,True,0.041435837263626096,0.01084636717821572,0.07392805654941374,True,0.0075,0.0075,382.91877469582863,414.358372636261
US,60/40,3.0,184,2011-04-30,2026-07-31,0.0943069762882626,0.09390441342346367,0.09211784878551788,0.08157842919095529,0.08467591696792232,-0.0770922486000828,True,0.0,0.0,0.0,False,0.0,0.0,0.0,False,1.0,1.0,0.0,0.0,0.008735869018955997,0.0034463233006482574,0.014118508811430858,True,0.00936115595683673,0.0035527838827773216,0.015577143458428505,True,0.002,0.002,87.35869018955997,93.61155956836731
