Date,Synthetic Pure VRP Proxy,Buy-and-Hold Equity,60/40,1/N Equity-Bond,HMM RV + Log VRP (full),HMM RV + Log VRP (partial 0.25),RSM RV + Raw VRP,ML Logistic Base,ML Logistic + VRP,ML Random Forest Base,ML Random Forest + VRP,ML Gradient Boosting Base,ML Gradient Boosting + VRP
2011-04-30,0.0010675407530567,0.0,0.0062304927113121,0.0064985317940704,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2011-05-31,3.015600241141475e-05,0.0,0.0113544923845022,0.0117996838545927,1.007383588962807,0.2504876456876738,0.0241767800747627,0.3262414608529729,0.33506221641284406,0.5171846584761892,0.48723964934402253,0.6795542518755064,0.6560239442786213
2011-06-30,0.011014221466943,0.0,0.0060319882490604,0.0062754349781783,0.001671701173233,0.1903246665205035,0.3003938629520921,0.10367184165032794,0.10282516108701589,0.17000046029497695,0.23182573290593633,0.0839974312321683,0.1085584667868531
2011-07-31,0.0029212985450534,0.0,0.0177917982000858,0.0184646814820151,1.0870596195028823,0.1274534308324597,0.2099472084405551,0.20061006651610036,0.21286639029746124,0.2669762429132956,0.2383028485725398,0.4853109347086295,0.46674377835711534
2011-08-31,0.0029115087695714,0.0,0.0346180089002285,0.0358022172966912,0.0031230836160582,0.091816135365021,0.1853845045714048,0.11821711856251449,0.09264216026255184,0.016864238451840485,0.137517304616392,0.2973604001091741,0.4354643552666757
2011-09-30,0.010769815744947,0.0,0.0385060642259129,0.0397912741193114,0.1078788254316687,0.0873671197047296,1.1319006254163302,0.3734388340115877,0.4004290801960031,0.414500733328947,0.4368037992031258,0.6886318274254741,0.7661510254149473
2011-10-31,0.0004593687372084,0.0,0.048578139383208,0.0511195814729256,6.838399624342628e-09,0.0568302260204522,1.1485155087195096,0.06341413017241765,0.026029772899576198,0.15131738543772072,0.02433871884340405,0.10484556096044528,0.1311528613119033
2011-11-30,0.0014871398035879,0.0,0.0003643864026037,0.0003795403570152,7.910575530312158e-05,0.053259148007889,5.177465478567456e-08,0.1449383770032977,0.1160961051718884,0.2231589570908627,0.04360740236748728,0.02650656358093545,0.04752955796988273
2011-12-31,0.0005924643757401,0.0,0.0014800810046174,0.0015412757937628,0.0016160050545194,0.0394638691635459,0.0001484998078211,0.036419302471522974,0.044902659629214414,0.1754721608959669,0.11729882419972149,0.06277053270362665,0.07112930761002256
2012-01-31,0.0106590126606944,0.0,0.018217048509626,0.0190483849794439,0.3180177759873561,0.0502028964571753,0.0083075626685085,0.39421039979226485,0.40664920700507357,0.5249493860937597,0.40536589295105574,0.7285492983433386,0.6194070164813015
2012-02-29,0.0049947665383721,0.0,0.0203705292978444,0.0213097368977138,0.8796318621381454,0.2536501328851352,0.4593693606641384,0.2934709843748351,0.2923105542673623,0.20497365224057962,0.28456358934641135,0.11934718609919615,0.24777940034026247
2012-03-31,0.0027951028467292,0.0,0.0178844034009004,0.0186992587690888,0.0001444572733961,0.1850674839966439,0.0806263603518091,0.010115270438668666,0.016157310344121933,0.011887110011421287,0.09732543304227681,0.037501585691072536,0.05906503451896894
2012-04-30,0.0001179722453112,0.0,0.0075555980308417,0.0078580454003865,0.0385531829658227,0.1245005319206895,0.1276899293432891,0.02447895930482269,0.03442344951802179,0.0994308296900237,0.053708534805968045,0.17629715920269984,0.12987568528149684
2012-05-31,0.0014442457044125,0.0,0.0351160725653855,0.0363135776249874,0.027635872868275,0.102182657881002,0.5096163726513636,0.0232848012705007,0.023534962605518794,0.13900883344003212,0.15166964537956296,0.23298180677891533,0.25820323433670866
2012-06-30,6.528327864496059e-05,0.0,0.0191098451467301,0.0199856559424724,1.1882665803794628,0.2119868649493846,0.0052726712372788,0.18317910780107005,0.17292016948875166,0.1324752913098528,0.15873783051031887,0.22534804512549655,0.22925957420257514
2012-07-31,0.000315163640383,0.0,0.0008492078634049,0.0008844350516301,0.0002489625524101,0.1640386179590534,0.2439868433787038,0.01630014111492417,0.00911855564434827,0.10091209498017095,0.14903909315013064,0.192613689495305,0.24775049355601642
2012-08-31,0.0003414474157269,0.0,0.0118470842005605,0.0123712467092151,1.1727607188347724,0.1703797333687391,0.1857936846093333,0.1382144342818783,0.15671116744681157,0.10874648728462732,0.022779225262681058,0.10134725198420158,0.10973484753992424
2012-09-30,0.0107187399668004,0.0,0.010714729530769,0.0111861467063113,0.0271306151347749,0.1314887568307592,0.3672243031115092,0.09671613041592764,0.09977035873749873,0.29364412443585186,0.24430258500289503,0.22673700981412437,0.22228845479974702
2012-10-31,0.0022841567990832,0.0,0.0086047230327682,0.008947213930428,0.0272713288213684,0.0891264182758378,0.0078259615652822,0.0019086117758015941,0.002736002650120861,0.07947021597338089,0.04552667876720129,0.17072025368938637,0.1485288272542178
2012-11-30,1.4783592675683688e-05,0.0,0.001411501868872,0.001470746938836,0.0269106981006863,0.0756063631293788,0.4314538084742843,0.06457594644750575,0.058771810830074545,0.3019264857375412,0.14295814135534224,0.44027034040335455,0.34083738385351925
2012-12-31,0.0039484771939514,0.0,0.0054415475519936,0.0056747118696772,0.7344534718763804,0.1272250166157318,0.0537053255456347,0.0007943200656215232,0.010563359733374522,0.12130866508936089,0.10586485420585778,0.23449708585583573,0.16959310598957655
