Market,Dimension,Parameter Label,Parameter Value,Strategy,Ann. Return,Ann. Vol,Sharpe,Sortino,Max Drawdown,Calmar,VaR 95,CVaR 95,Avg Turnover,Obs,Gamma,MV CEQ Ann.,CRRA CE Ann.,Delta MV CEQ vs 60/40,Delta MV CEQ vs 1/N,Welfare Obs,Welfare Start,Welfare End,Common Obs,Common Start,Common End,Target Ann. Vol,Realized / Target Vol
US,Notional Cap,5%,0.05,Direct Short Variance 5% Vol,0.05319641116234508,0.08303133785653098,0.6708219952693933,0.755263739389779,-0.19994474205385515,0.2660555642319247,-0.01591821652494713,-0.07173234410019266,0.023026362245495983,232.0,5.0,0.038463740065191744,0.03285764286190873,-0.01901325174254144,-0.016417809206712382,232,2007-04-30,2026-07-31,232,2007-04-30,2026-07-31,0.05,1.6606267571306195
US,Notional Cap,5%,0.05,Direct Short Variance 10% Vol,0.10173609163784025,0.11835448709633785,0.8869920112556604,1.027702691641328,-0.329460691030137,0.3087958424409851,-0.026844949739349772,-0.11017169475085764,0.03826770768840147,232.0,5.0,0.06996002301111982,0.057202454086979326,0.01248303120338664,0.015078473739215698,232,2007-04-30,2026-07-31,232,2007-04-30,2026-07-31,0.1,1.1835448709633785
US,Notional Cap,5%,0.05,Direct Short Variance 10% Vol (VRP > 0),0.08878970673338071,0.11193949363688713,0.8243467011402129,0.9541307453808259,-0.22166855535815366,0.4005516551047201,-0.02382227608098747,-0.09912018014815634,0.03286574582934769,232.0,5.0,0.060950826717667037,0.04889389673960509,0.0034738349099338525,0.006069277445762911,232,2007-04-30,2026-07-31,232,2007-04-30,2026-07-31,0.1,1.119394936368871
US,Notional Cap,5%,0.05,Direct Short Variance 10% Vol (High VRP),0.05365328804284775,0.06528946497307779,0.8361270281382865,1.0785477964164962,-0.23464506501608828,0.22865721910311237,-0.010803409861323736,-0.04910450738192731,0.0173213605197126,232.0,5.0,0.04393350072550141,0.04314936254384549,-0.013543491082231775,-0.010948048546402717,232,2007-04-30,2026-07-31,232,2007-04-30,2026-07-31,0.1,0.6528946497307778
US,Notional Cap,10%,0.1,Direct Short Variance 5% Vol,0.053211202660093715,0.08305994803845848,0.6707890549556992,0.7553874816088434,-0.19994474205385526,0.26612954216000956,-0.016055782839401664,-0.07173234410019266,0.02306314670064574,232.0,5.0,0.03846831662900849,0.032862525773266205,-0.019008675178724697,-0.01641323264289564,232,2007-04-30,2026-07-31,232,2007-04-30,2026-07-31,0.05,1.6611989607691695
US,Notional Cap,10%,0.1,Direct Short Variance 10% Vol,0.09879431346240608,0.16606267571306196,0.6708219952693933,0.755263739389779,-0.3977420348062515,0.2483879118045214,-0.03183643304989426,-0.14346468820038533,0.046052724490991966,232.0,5.0,0.04245646479915651,-0.03535153962920545,-0.015020527008576673,-0.012425084472747615,232,2007-04-30,2026-07-31,232,2007-04-30,2026-07-31,0.1,1.6606267571306195
US,Notional Cap,10%,0.1,Direct Short Variance 10% Vol (VRP > 0),0.08178835497980175,0.1606085089621012,0.5898663111971867,0.6589415924664794,-0.3977420348062516,0.20563166027860885,-0.027154161936571757,-0.13283783010501737,0.039785101812072975,232.0,5.0,0.030249815850781583,-0.04565930496397197,-0.0272271759569516,-0.024631733421122542,232,2007-04-30,2026-07-31,232,2007-04-30,2026-07-31,0.1,1.6060850896210117
US,Notional Cap,10%,0.1,Direct Short Variance 10% Vol (High VRP),0.06245120940866178,0.07169202066239445,0.8839407559033734,1.2218558924711886,-0.23464506501608817,0.2661518127576213,-0.01220749630109555,-0.05244330531733832,0.020088346165450868,232.0,5.0,0.05052213436991425,0.050134812456065436,-0.006954857437818936,-0.004359414901989878,232,2007-04-30,2026-07-31,232,2007-04-30,2026-07-31,0.1,0.7169202066239445
US,Notional Cap,15%,0.15,Direct Short Variance 5% Vol,0.053211202660093715,0.08305994803845848,0.6707890549556992,0.7553874816088434,-0.19994474205385526,0.26612954216000956,-0.016055782839401664,-0.07173234410019266,0.02306314670064574,232.0,5.0,0.03846831662900849,0.032862525773266205,-0.019008675178724697,-0.01641323264289564,232,2007-04-30,2026-07-31,232,2007-04-30,2026-07-31,0.05,1.6611989607691695
US,Notional Cap,15%,0.15,Direct Short Variance 10% Vol,0.09882000010320335,0.16611989607691696,0.6707890549556992,0.7553874816088434,-0.3977420348062516,0.24845249296152624,-0.03211156567880333,-0.14346468820038533,0.04612629340129148,232.0,5.0,0.042441858417259865,-0.035363686264141214,-0.01503513339047332,-0.012439690854644261,232,2007-04-30,2026-07-31,232,2007-04-30,2026-07-31,0.1,1.6611989607691695
