Market,Model Group,Selection Role,Strategy,Ann. Return,Ann. Vol,Sharpe,Sortino,Max Drawdown,Calmar,VaR 95,CVaR 95,Avg Turnover,Obs
US,Benchmark,Benchmark,1/N Equity-Bond,0.072004029441502,0.0861743752754609,0.8523021654919818,1.3204264473250191,-0.2689281306914726,0.2677445057769304,-0.0359610386786837,-0.0548146267071554,0.0169314209474873,232.0
US,Benchmark,Benchmark,60/40,0.0799526261719547,0.0992326707873021,0.8272960763360888,1.2764032839649218,-0.3234719980283704,0.2471701620519944,-0.0421892383907183,-0.062835390156202,0.016251439746298,232.0
US,Benchmark,Benchmark,Buy-and-Hold Equity,0.109933379700968,0.1551080304632317,0.7533455691170752,1.1507725462647085,-0.507848175284537,0.2164689863055521,-0.0739082979528719,-0.0972261970449406,0.0,232.0
US,Direct Variance Approximation,Selected direct-variance specification,Direct Short Variance 10% Vol (High VRP),0.0623207497470146,0.0717409694675408,0.8816668516675211,1.218248930380842,-0.2346450650160881,0.2655958255194571,-0.0122074963010955,-0.0526364199431998,0.0201324696101682,232.0
US,Direct Variance Approximation,Alternative direct-variance specification,Direct Short Variance 5% Vol,0.0532112026600937,0.0830599480384584,0.6707890549556992,0.7553874816088434,-0.1999447420538552,0.2661295421600095,-0.0160557828394016,-0.0717323441001926,0.0230631467006457,232.0
US,Direct Variance Approximation,Alternative direct-variance specification,Direct Short Variance 10% Vol,0.0988200001032033,0.1661198960769169,0.6707890549556992,0.7553874816088434,-0.3977420348062516,0.2484524929615262,-0.0321115656788033,-0.1434646882003853,0.0461262934012914,232.0
US,Direct Variance Approximation,Alternative direct-variance specification,Direct Short Variance 10% Vol (VRP > 0),0.0818082546455722,0.1606655588979054,0.5898282450372914,0.6590418445188885,-0.3977420348062516,0.2056816918669981,-0.0271541619365717,-0.1328795168669732,0.0398581050564024,232.0
EU,Benchmark,Benchmark,1/N Equity-Bond,0.0331342376311614,0.0939394334139147,0.394312702730779,0.5821400462030913,-0.1966172425293031,0.168521525400923,-0.0421015348523379,-0.0568190106216097,0.0178495304158649,170.0
EU,Benchmark,Benchmark,60/40,0.0361321958385398,0.1080030869884282,0.3829923796318051,0.5661575763704784,-0.2218249680506767,0.1628860635304378,-0.0469936001913106,-0.0646219693077582,0.0171392707088459,170.0
EU,Benchmark,Benchmark,Buy-and-Hold Equity,0.0457291527558827,0.1675462932695245,0.3511108874523179,0.5189896950292248,-0.3741869288491497,0.1222093804733571,-0.0737990189777152,-0.1010317348631458,0.0,170.0
EU,Direct Variance Approximation,Selected direct-variance specification,Direct Short Variance 10% Vol (VRP > 0),0.1307843081937443,0.0969590268794511,1.3239358698465211,1.8912768988553408,-0.213607365887245,0.6122649734034932,-0.0366030673048111,-0.0734297662631585,0.0438769254193984,170.0
EU,Direct Variance Approximation,Alternative direct-variance specification,Direct Short Variance 5% Vol,0.0678122136100443,0.0568557192380369,1.1859715834566142,1.6062059908596815,-0.1099612239346692,0.6166920591056104,-0.0247434405001157,-0.0456497686515753,0.0270065511717363,170.0
EU,Direct Variance Approximation,Alternative direct-variance specification,Direct Short Variance 10% Vol,0.135973043259211,0.1137114384760739,1.1859715834566142,1.6062059908596815,-0.2136073658872449,0.6365559665717985,-0.0494868810002315,-0.0912995373031507,0.0540131023434726,170.0
EU,Direct Variance Approximation,Alternative direct-variance specification,Direct Short Variance 10% Vol (High VRP),0.0643328868560615,0.0764415464336009,0.8573140767359271,1.1709002548109355,-0.1694206670102792,0.3797227811183051,-0.0131064184247658,-0.0531916179395302,0.0232895441257372,170.0
