Date,Buy-and-Hold Equity,60/40,1/N Equity-Bond,HMM RV,HMM RV + Log VRP,RSM Returns Only,RSM RV,RSM RV + Raw VRP,RSM RV + Log VRP,ML Logistic Base,ML Logistic + VRP,ML Random Forest Base,ML Random Forest + VRP,ML Gradient Boosting Base,ML Gradient Boosting + VRP
2015-09-30,0.0,0.0407577755801974,0.0420985488943539,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2015-10-31,0.0,0.0065260119722008,0.0068071840887217,0.0066915054692421,0.0118634520043097,0.2107205680555368,1.143113350804875,0.5766055018464351,1.1437928936132575,0.0990582800578137,0.15223599065131754,0.20919684591235826,0.2940839452098096,0.2185412673796951,0.49015194712168064
2015-11-30,0.0,0.0186012640221191,0.0194516971384891,9.991689277721873e-05,0.0001348972789072,0.1601521209997616,0.8912509916769067,0.908557221668758,0.6114473409446763,0.06772828768484263,0.07484232578141309,0.17756407098540516,0.10961002074685133,0.4389659860860635,0.5045829772875612
2015-12-31,0.0,0.0289126874481708,0.0299370575940665,3.1771301467531377e-05,9.822997582276116e-05,0.0251473915596773,0.0093819769120311,0.0008740814480172,0.3237188650006921,0.007010694549381746,0.018381589534089915,0.16986546820948623,0.07222472834509563,0.0633769012087686,0.17582974206953
2016-03-31,0.0,0.0089460075566997,0.0093361581510141,0.0087897058129602,0.0182326557663468,0.0280628756224241,0.1986356344546318,0.6064544547236541,0.6358701944511456,0.09791827134506659,0.15812304708683728,0.33692344922131934,0.40757162080447107,0.10196966212688441,0.25128293932110907
2016-04-30,0.0,0.0162956097003531,0.0169171610516727,0.0087455358519659,0.0178888445633648,0.0447010910530991,0.0571695479617331,0.7932328338528312,0.5250689585617845,0.21755733543855554,0.2640081842958835,0.4420750936608062,0.4111507154134699,0.6036985874088507,0.5838238998708305
2016-05-31,0.0,0.0160732869518471,0.0167992612721337,1.8163022953987529e-06,0.0002661011894002,0.0081797312217481,0.0075151343057948,0.0075369869975479,0.3181730622902106,0.005325768096728523,0.005617100331000546,0.11266678657608176,0.012026903970683733,0.2314037816940398,0.18369408919807956
2016-06-30,0.0,0.0025887923740208,0.0026952051132626,0.0001844531857149,0.0007699003904006,0.0055962568505925,0.0099327944644382,0.020488422228664,0.1663175974419291,0.1414634405083155,0.1530152281779505,0.03023860217487001,0.1488035149598868,0.08799592653252108,0.181793234182194
2016-07-31,0.0,0.034871434877191,0.036062422079768,4.017283606527755e-05,0.0004523296299215,0.0060441482691608,0.0051514371792953,0.4810522727996769,0.1781510623709106,0.04817074288166895,0.05332545381246989,0.07104046889283067,0.029174180092877477,0.30913394135651356,0.3594800763876586
2016-08-31,0.0,0.0027083702419591,0.0028228117560739,0.0003720692929354,0.0005642275670552,0.0342745618464097,0.0371725234981872,0.4198790738687714,0.0336273553172079,0.2068360734799466,0.21101353763850872,0.20276530400300213,0.24880898430203202,0.748523345342244,0.8322215554989787
2016-09-30,0.0,0.0272406713435274,0.0285376544968123,4.320771264754164e-05,0.0002077757523335,0.0287009702889124,0.0304156738062928,0.1573902675701777,0.026215574015951,0.13204302389553974,0.13283838884542293,0.05298116555819604,0.16598031120542572,0.07877049264699515,0.400141818017431
2016-12-31,0.0,0.0124098921482624,0.0129604789348089,7.060213630860623e-05,0.0002569669020817,0.0275461076646792,0.0216348783836211,0.1835140270741078,0.0247082865719185,0.04964752124217653,0.021502706785505366,0.0526366282943736,0.18334784599397402,0.027532538500882053,0.34298640668642627
2017-01-31,0.0,0.0406296182677489,0.0426838163548863,3.891143406220543e-05,0.0001723881168587,0.3503160861354064,0.0254658319668403,0.2067803820942431,0.0276443074150258,0.010541476696194596,0.026843346178908156,0.06347682145929623,0.08335713163986602,0.06487094560488221,0.2019534553097424
2017-02-28,0.0,0.0022111251414809,0.0023043168417307,4.543671737705646e-05,0.0001906381214462,0.7789979749921014,0.0881689765263857,0.2611681793395437,0.1583871530192639,0.3047095633780135,0.1626038206095708,0.1641775802753278,0.03255625611695728,0.08030463167624924,0.1478702390526454
2017-03-31,0.0,0.0239659458861015,0.0250897979521922,9.33458877586668e-05,2.793992224636721e-05,0.4795983015959029,0.0684330827271859,0.4810663323146622,0.997846218348916,0.09048647040692415,0.2906805098308054,0.01940996486958313,0.046150551812002893,0.3849091257619164,0.24351044369419028
2017-04-30,0.0,1.5725185841919398e-05,1.6380455582387654e-05,0.0028385502100104,0.0005465282451627,0.0881028845776919,0.0144189920079658,0.3652959874542953,1.161050435935261,0.13422608683642867,0.1757288151007792,0.2081046201524026,0.2017633320175911,0.0643383133672688,0.08063398936549954
2017-05-31,0.0,0.0232741454058455,0.0243620275836648,1.196624703319579,1.1994148896972354,0.3554277205335346,0.022854558555087,0.5039625369225027,0.0109519128953816,0.08672613166298127,0.023168569086337465,0.08524252238476548,0.12888341096639322,0.07232736251080207,0.200117822548169
2017-06-30,0.0,0.017109770448617,0.0177593736326913,0.0001156350520012,0.0002734567182336,0.4975736833698116,0.0069094155022104,0.1482106742155141,0.0116569616007913,0.014441033518318713,0.07458528620605231,0.03404874705380112,0.3098435495595797,0.24568945217379912,0.7690417533923755
2017-07-31,0.0,0.0018671894073896,0.0019457458568753,0.000266277314042,0.0002661167508539,0.9074264228156312,0.0040650249294247,1.0484219801235517,0.0034110653888719,0.061134591315642695,0.0787345190398161,0.09841477527920484,0.0028856452864907123,0.17739691147430015,0.02215145464359347
2017-08-31,0.0,0.0211289816049418,0.0219128980842034,1.2925039523103976e-05,2.4202771233827747e-06,0.0092299302476717,0.0074676178957302,0.0123578797869774,0.0089804587904975,0.07422382534467697,0.06818462566894512,0.07817404607966916,0.050623918978050186,0.0021664229722166972,0.028680250391310613
2017-09-30,0.0,0.0116201815860188,0.0121337300158739,4.468705253213301e-05,1.511900031792024e-05,0.0073320397257876,0.0044904467110145,0.0031632949516184,0.0058189245994679,0.046674894099534514,0.08030595198841817,0.19577562974677631,0.2198341086521347,0.16848951635677456,0.2289151113629999
2017-10-31,0.0,0.0177099252543551,0.018516155416709,1.5901382981464709e-06,1.768126742796028e-07,0.2987651615009188,0.010192505506875,0.0084014702748134,0.0107853272058842,0.052783209156196165,0.04579102585691075,0.19068595152518952,0.020287521121459928,0.1589405705676996,0.08817781581827178
2017-11-30,0.0,0.0051826973303054,0.0053928202700647,4.384283428526814e-06,2.910715877213477e-07,0.495932885681267,0.000665397227971,0.0041602335914576,0.0010877400227111,0.01709245539559312,0.03452813790902054,0.017946569315589356,0.13921131556551325,0.00926044862479114,0.12385025560419383
2017-12-31,0.0,0.0020276932534522,0.0021112885878408,2.123787777819075e-05,7.781192583600216e-06,0.8062392577865924,0.0016367398016623,0.012147878505617,0.0006476328253728,0.04886453693077719,0.01893292568001481,0.0063223139155101915,0.07296444434052529,0.006294569483713319,0.04204821199282116
2018-01-31,0.0,0.0049255846429812,0.0051360878021061,1.9658174210457343e-05,6.910648629343541e-06,0.0017304384570109,0.0013995257758259,0.0038133331569898,0.001254217739727,0.007134415040294773,0.00914651102398678,0.07037175085661951,0.07909345790358824,0.12686180796914126,0.06123118294732355
2018-02-28,0.0,0.028904791088293,0.0299289304084402,0.0001441760041569,1.6098730884150925e-05,0.0001470386242885,0.0025668065145803,0.0003956672781895,0.0013263239807215,0.1686594702580737,0.15776732655287407,0.13766948488322206,0.13695075529977152,0.058442304130527756,0.36490345022482673
2018-03-31,0.0,0.0048454826026356,0.005052478064112,0.0003082208947928,0.0001919584606198,0.0522440946877846,0.0595106122392914,0.0550167375973442,0.0562617630091208,0.02035229307445463,0.03487361124886679,0.09773064960090672,0.1147316443937414,0.10149776010157141,0.2290859235487348
2018-04-30,0.0,0.0010648821700293,0.0011090062269144,0.0004040980187773,0.0002025503845344,0.8046725178127956,0.0498360184115154,0.0392961759412875,0.0452795722771028,0.01371032718138454,0.01353031268920879,0.032666534888080356,0.06061377400439527,0.006685590136890518,0.13282960457967885
2018-05-31,0.0,0.0174915154220561,0.0182869674758138,0.0002336449820086,7.9978206647624e-05,0.5732538900942514,0.0085919326371817,0.0134067344052037,0.0091274506730385,0.067789591549265,0.04053127090182085,0.15823736632179575,0.0961374104656183,0.3378402814466812,0.3992723970904226
2018-06-30,0.0,0.0065841307382364,0.0068490746850042,0.0001925429418476,7.5194371606635e-05,0.1894255346032209,0.000273271725707,0.0078138023132414,0.0002283254606649,0.048195578072741885,0.02466471008418969,0.03769801259426164,0.07921671529310181,0.0744809433470745,0.03261921534849499
2018-07-31,0.0,0.0095047234320103,0.0098811873348446,2.5193745924578792e-05,1.0078743647001788e-05,0.4663738592315696,0.0060786001296695,0.0002497471611884,4.50108689618034e-05,0.2163649859933332,0.23103940068253004,0.17561473064304228,0.06471729429620576,0.20591297320993623,0.04844219488228152
2018-08-31,0.0,0.0018881086871186,0.0019660065419921,3.833145529208437e-05,1.0554110903004954e-06,0.005945225910392,0.0059243594736591,0.0090266396325182,0.0051950679675416,0.09824577692025627,0.0832196950321269,0.18656049661314494,0.05840948216152042,0.3266612207659354,0.2540711908617579
2018-09-30,0.0,0.014619277357698,0.015182173828832,2.7199362477858813e-05,1.757363517818078e-06,0.0020392866799732,0.0030536342632334,0.0039769671649694,0.0008076851903455,0.16846194275034398,0.15168052464531057,0.05498010720638136,0.053932877195391526,0.028223606602994833,0.05052820479597586
2018-10-31,0.0,0.0125114749330319,0.0129989040007494,2.9906100700305416e-06,4.00532305322443e-07,0.0104239320802832,0.0093818692171923,0.0045812034168364,0.0101422693165351,0.005765207112168547,0.02346565008455892,0.18425890111193,0.09279201499829481,0.36233300297990456,0.4400041723563768
2018-11-30,0.0,0.0024281252816403,0.0025280183464462,2.7421534350535737e-05,1.0751600523217777e-06,0.0039562653012772,0.0062785896637327,0.0091510183432179,0.0008338031801171,0.3613230098194793,0.34443431209462294,0.4381820650445303,0.3195028475413369,0.7150084073130181,0.6574059908271392
2018-12-31,0.0,0.0160956999917887,0.016710319929706,5.4686584278762496e-06,9.871608641631724e-07,0.0130001922400717,0.0130437616261027,0.012165967451049,0.0108755927934163,0.10575420921178891,0.10911313303962933,0.13569139511434103,0.07436185900763898,0.03346040225801278,0.025364340559363152
2019-01-31,0.0,0.0073809348585349,0.00767666943659,0.0015015257258188,0.0008028541613167,0.0039763041897673,0.0085159076262226,0.0068743270850366,0.0092422863563099,0.005127122880993262,0.09390711106035798,0.23634758386518628,0.32172219069930397,0.565376231200658,0.6258141960577501
2019-02-28,0.0,0.0143250946786638,0.0149666399850263,0.0240077589209151,0.1428709875962532,0.0045764970146486,0.0033449380299341,0.00603319616161,0.0054735016522735,0.3272613400166613,0.3814063717218501,0.11965451824721507,0.0047628340633101285,0.19624964309545767,0.09791206694528709
2019-03-31,0.0,0.0128261242534101,0.0133963425878381,0.1233838652399939,0.8225658699780358,0.0067853247534568,0.0020426713878114,0.0066436897736643,0.0066033967258445,0.19280112134342686,0.17277922546478686,0.11773502067725117,0.05897919043025879,0.06557341337417122,0.08276237200008896
2019-04-30,0.0,0.0169862986692271,0.0177568994465781,0.0394101879342809,0.1646253376666409,0.0009800350480182,0.0014165045736485,0.001402077386539,0.0004436078713829,0.0417336030756148,0.052580362142803816,0.06225798011976069,0.10236078479966104,6.838912627271654e-05,0.0820225541551749
2019-05-31,0.0,0.0153231376765975,0.0159108093460067,0.1084834181879763,1.128197672717008,0.0042670969512175,0.0013513392967121,0.0123182530266641,0.0037189149236767,0.1369074419772831,0.08393623698051655,0.04110981133599445,0.08506739222900794,0.033117970198248026,0.031804186647338195
