Market,Model Group,Strategy,Ann. Return,Ann. Vol,Sharpe,Sortino,Max Drawdown,Calmar,VaR 95,CVaR 95,Avg Turnover,Obs,Comparability Warning
EU,Benchmark,1/N Equity-Bond,0.0331342376311614,0.0939394334139147,0.394312702730779,0.5821400462030913,-0.1966172425293031,0.168521525400923,-0.0421015348523379,-0.0568190106216097,0.0178495304158649,170.0,Performance is ranked only within its evidence layer. Allocation and direct-variance samples may have different start dates.
EU,Direct Variance Approximation,Direct Short Variance 10% Vol (VRP > 0),0.1307843081937443,0.0969590268794511,1.3239358698465211,1.8912768988553408,-0.213607365887245,0.6122649734034932,-0.0366030673048111,-0.0734297662631585,0.0438769254193984,170.0,Performance is ranked only within its evidence layer. Allocation and direct-variance samples may have different start dates.
EU,HMM,HMM RV,0.0180328157916762,0.1093627220953518,0.2178454685134941,0.3146968087397694,-0.1938637790643629,0.0930179731289017,-0.0514730613421857,-0.0620339643414424,0.1776275722590563,122.0,Performance is ranked only within its evidence layer. Allocation and direct-variance samples may have different start dates.
EU,Machine Learning,ML Random Forest + VRP,0.0226029997343784,0.0998902878227113,0.2736622078461325,0.3957833245629369,-0.1916627324315296,0.1179311149727722,-0.0457018949577846,-0.0581835612582633,0.1538099568644255,122.0,Performance is ranked only within its evidence layer. Allocation and direct-variance samples may have different start dates.
EU,RSM,RSM RV + Raw VRP,0.0255482591922591,0.1124473847336268,0.2808870765976161,0.4072984265513839,-0.2046565254436366,0.1248348135339335,-0.0514845352779162,-0.0673914135266023,0.3400194599721354,122.0,Performance is ranked only within its evidence layer. Allocation and direct-variance samples may have different start dates.
US,Benchmark,1/N Equity-Bond,0.0822975859018368,0.0805335296533021,1.0253000784281725,1.4595997257842477,-0.1910267711835759,0.4308170283773956,-0.0336057905601924,-0.045841287734571,0.0153471397083266,184.0,Performance is ranked only within its evidence layer. Allocation and direct-variance samples may have different start dates.
US,Direct Variance Approximation,Direct Short Variance 10% Vol (High VRP),0.0623207497470146,0.0717409694675408,0.8816668516675211,1.218248930380842,-0.2346450650160881,0.2655958255194571,-0.0122074963010955,-0.0526364199431998,0.0201324696101682,232.0,Performance is ranked only within its evidence layer. Allocation and direct-variance samples may have different start dates.
US,HMM,HMM RV + Log VRP (full),0.0835672052527509,0.0823711062008542,1.0186568439272672,1.492568077554552,-0.1666869383123657,0.5013422533213061,-0.0418597477916548,-0.0486450475896873,0.253545226377228,184.0,Performance is ranked only within its evidence layer. Allocation and direct-variance samples may have different start dates.
US,Machine Learning,ML Logistic Base,0.0758019833096625,0.0759946405440634,1.0022762266873948,1.4489497296448686,-0.1854012466785464,0.4088536871658154,-0.0362918678656473,-0.043526563124069,0.1738552415129897,184.0,Performance is ranked only within its evidence layer. Allocation and direct-variance samples may have different start dates.
US,RSM,RSM RV + Raw VRP,0.0960640671033916,0.1025430372158826,0.9486227812058794,1.4117076345439648,-0.1543152289894535,0.6225183848183711,-0.0397762704029413,-0.055278947394841,0.3669280720587636,184.0,Performance is ranked only within its evidence layer. Allocation and direct-variance samples may have different start dates.
