Market,Scenario,Strategy,Ann. Return,Ann. Vol,Sharpe,Sortino,Max Drawdown,Calmar,VaR 95,CVaR 95,Avg Turnover,Obs,Gamma,MV CEQ Ann.,CRRA CE Ann.,Delta MV CEQ vs 60/40,Delta MV CEQ vs 1/N,Welfare Obs,Welfare Start,Welfare End,Excluded Obs,Retained Obs,Target Ann. Vol,Realized / Target Vol
US,Full Sample,Direct Short Variance 5% Vol,0.053211202660093715,0.08305994803845848,0.6707890549556992,0.7553874816088434,-0.19994474205385526,0.26612954216000956,-0.016055782839401664,-0.07173234410019266,0.02306314670064574,232.0,5.0,0.03846831662900849,0.032862525773266205,-0.019008675178724697,-0.01641323264289564,232,2007-04-30,2026-07-31,0,232,0.05,1.6611989607691695
US,Full Sample,Direct Short Variance 10% Vol,0.09882000010320335,0.16611989607691696,0.6707890549556992,0.7553874816088434,-0.3977420348062516,0.24845249296152624,-0.03211156567880333,-0.14346468820038533,0.04612629340129148,232.0,5.0,0.042441858417259865,-0.035363686264141214,-0.01503513339047332,-0.012439690854644261,232,2007-04-30,2026-07-31,0,232,0.1,1.6611989607691695
US,Full Sample,Direct Short Variance 10% Vol (VRP > 0),0.08180825464557229,0.16066555889790546,0.5898282450372914,0.6590418445188885,-0.3977420348062516,0.20568169186699814,-0.027154161936571757,-0.13287951686697327,0.039858105056402415,232.0,5.0,0.03023153010274632,-0.04567472881216372,-0.027245461704986863,-0.024650019169157805,232,2007-04-30,2026-07-31,0,232,0.1,1.6066555889790546
US,Full Sample,Direct Short Variance 10% Vol (High VRP),0.062320749747014625,0.07174096946754084,0.8816668516675211,1.218248930380842,-0.23464506501608817,0.2655958255194571,-0.01220749630109555,-0.05263641994319981,0.020132469610168235,232.0,5.0,0.05038471793566593,0.04999041732875087,-0.007092273872067255,-0.004496831336238197,232,2007-04-30,2026-07-31,0,232,0.1,0.7174096946754084
US,Exclude Global Financial Crisis,Direct Short Variance 5% Vol,0.0658354396733778,0.07700984805364942,0.8722378859563474,0.9982198892436602,-0.19994474205385526,0.3292681717814063,-0.013661531173950591,-0.05775111058334085,0.023449507042646985,222.0,5.0,0.05234461532101929,0.0478058157298995,-0.020232951467460528,-0.014598877350396208,222,2007-04-30,2026-07-31,10,222,0.05,1.5401969610729884
US,Exclude Global Financial Crisis,Direct Short Variance 10% Vol,0.12654562261074997,0.15401969610729885,0.8722378859563474,0.9982198892436602,-0.3977420348062515,0.31816004228065314,-0.027323062347901182,-0.1155022211666817,0.04689901408529397,222.0,5.0,0.07503664715580771,0.0009884054718070079,0.0024590803673278927,0.008093154484392212,222,2007-04-30,2026-07-31,10,222,0.1,1.5401969610729884
US,Exclude Global Financial Crisis,Direct Short Variance 10% Vol (VRP > 0),0.10115612570407806,0.15173162479404612,0.7313698984692372,0.8286280198019248,-0.3977420348062515,0.2543259621864039,-0.02698786049119114,-0.11340893626861114,0.04082651126300939,222.0,5.0,0.053415728113590924,-0.019366121453988083,-0.019161838674888895,-0.013527764557824576,222,2007-04-30,2026-07-31,10,222,0.1,1.5173162479404612
US,Exclude Global Financial Crisis,Direct Short Variance 10% Vol (High VRP),0.06294183856021318,0.07322933665085019,0.873281524339566,1.2048587936741213,-0.23464506501608795,0.2682427544593691,-0.012782215903815295,-0.05263641994319981,0.02047716491094088,222.0,5.0,0.05054348737102082,0.05008507567699261,-0.022034079417458996,-0.016400005300394677,222,2007-04-30,2026-07-31,10,222,0.1,0.7322933665085019
US,Exclude Euro Sovereign Crisis,Direct Short Variance 5% Vol,0.05191844525931222,0.08486708774177944,0.6439596858241989,0.723009818923048,-0.19994474205385526,0.2596639687845752,-0.01548008066698589,-0.07551902013743411,0.023199977670631464,219.0,5.0,0.03664492670458379,0.030641730000148026,-0.0211405984776402,-0.017896312556749824,219,2007-04-30,2026-07-31,13,219,0.05,1.6973417548355887
US,Exclude Euro Sovereign Crisis,Direct Short Variance 10% Vol,0.09565528297266246,0.16973417548355887,0.6439596858241989,0.723009818923048,-0.3977420348062515,0.24049578521228757,-0.03096016133397178,-0.15103804027486822,0.04639995534126293,219.0,5.0,0.03727774050031313,-0.044411250831173144,-0.020507784681910862,-0.017263498761020485,219,2007-04-30,2026-07-31,13,219,0.1,1.6973417548355887
US,Exclude Euro Sovereign Crisis,Direct Short Variance 10% Vol (VRP > 0),0.08052535657035609,0.16410537995061447,0.5746240939331952,0.640065180277949,-0.3977420348062516,0.2024562392797675,-0.02703593164864116,-0.1394905806384187,0.04031062299578891,219.0,5.0,0.026972465941845734,-0.05285957482522652,-0.030813059240378256,-0.02756877331948788,219,2007-04-30,2026-07-31,13,219,0.1,1.6410537995061447
US,Exclude Euro Sovereign Crisis,Direct Short Variance 10% Vol (High VRP),0.0658089327106397,0.071625037233192,0.9289996599463057,1.290774671119493,-0.23464506501608806,0.28046160999008274,-0.011805192579191728,-0.05195265672157492,0.020634846118590375,219.0,5.0,0.05371427033663651,0.053435172439134426,-0.004071254845587478,-0.000826968924697101,219,2007-04-30,2026-07-31,13,219,0.1,0.7162503723319199
US,Exclude Volmageddon,Direct Short Variance 5% Vol,0.05648283199602355,0.08248080644631764,0.7127049963752048,0.803002047816385,-0.19994474205385515,0.282492209676661,-0.014575066170138153,-0.06887438852639635,0.023120833266255927,230.0,5.0,0.04177677427925951,0.03623152458506662,-0.018464836014784852,-0.01548428347431588,230,2007-04-30,2026-07-31,2,230,0.05,1.6496161289263527
US,Exclude Volmageddon,Direct Short Variance 10% Vol,0.10572375953533752,0.16496161289263528,0.7127049963752048,0.803002047816385,-0.3977420348062515,0.2658098724386468,-0.029150132340276306,-0.1377487770527927,0.046241666532511855,230.0,5.0,0.04953813139834444,-0.02919452447475024,-0.01070347889569992,-0.007722926355230947,230,2007-04-30,2026-07-31,2,230,0.1,1.6496161289263527
US,Exclude Volmageddon,Direct Short Variance 10% Vol (VRP > 0),0.08846638567933884,0.15947193927552425,0.6318725143913569,0.7065018286876159,-0.3977420348062515,0.2224215142923797,-0.026873531889718045,-0.1268611859612436,0.04004982339650957,230.0,5.0,0.03718768670415006,-0.03967541561356258,-0.023053923589894297,-0.020073371049425325,230,2007-04-30,2026-07-31,2,230,0.1,1.5947193927552423
US,Exclude Volmageddon,Direct Short Variance 10% Vol (High VRP),0.06869000119641133,0.06793637647483977,1.0153390402584932,1.4687953109848848,-0.2295253768133193,0.2992697458995099,-0.011371931413469568,-0.04534209712849283,0.02015266068552553,230.0,5.0,0.05744007716727559,0.057700079416761696,-0.002801533126768771,0.00017901941370020158,230,2007-04-30,2026-07-31,2,230,0.1,0.6793637647483977
US,Exclude Covid Shock,Direct Short Variance 5% Vol,0.0578605365798146,0.08216299971890312,0.7310815450387022,0.8243872273974298,-0.19994474205385526,0.2893826363497462,-0.01473962798388744,-0.06764692313369679,0.023214313600043737,228.0,5.0,0.04319095647248897,0.037675917283224614,-0.01758672028326856,-0.014020952386972235,228,2007-04-30,2026-07-31,4,228,0.05,1.6432599943780624
US,Exclude Covid Shock,Direct Short Variance 10% Vol,0.10865037380485054,0.16432599943780624,0.7310815450387022,0.8243872273974298,-0.3977420348062515,0.2731679437849118,-0.02947925596777488,-0.13529384626739357,0.046428627200087474,228.0,5.0,0.052628120330935564,-0.026591893388542065,-0.008149556424821965,-0.004583788528525638,228,2007-04-30,2026-07-31,4,228,0.1,1.6432599943780624
US,Exclude Covid Shock,Direct Short Variance 10% Vol (VRP > 0),0.09267787050616505,0.15877044802939866,0.6585028153381894,0.7368439830151459,-0.3977420348062515,0.2330099974253674,-0.02690211404008632,-0.12440625517584446,0.04027363651990509,228.0,5.0,0.041530649101224754,-0.035944919901807704,-0.019247027654532775,-0.01568125975823645,228,2007-04-30,2026-07-31,4,228,0.1,1.5877044802939866
US,Exclude Covid Shock,Direct Short Variance 10% Vol (High VRP),0.07265242473185718,0.06502518745657948,1.1147137340973015,1.6912643371511618,-0.13602934080126727,0.5340937793560221,-0.010910236767701614,-0.0416641817800775,0.020201937293912422,228.0,5.0,0.06191378201069247,0.06285969361501764,0.0011361052549349396,0.004701873151231266,228,2007-04-30,2026-07-31,4,228,0.1,0.6502518745657948
US,Exclude Inflation Rate Shock,Direct Short Variance 5% Vol,0.054986796781113956,0.084795630526684,0.6788926906250703,0.7638836636256361,-0.19994474205385526,0.2750099663351148,-0.016878214514281342,-0.07173234410019266,0.023345355044282794,222.0,5.0,0.039591386370465095,0.03372703488557449,-0.0331284657117092,-0.02976733350273726,222,2007-04-30,2026-07-31,10,222,0.05,1.69591261053368
US,Exclude Inflation Rate Shock,Direct Short Variance 10% Vol,0.10207523217417647,0.169591261053368,0.6788926906250703,0.7638836636256361,-0.3977420348062516,0.25663677268584256,-0.033756429028562684,-0.14346468820038533,0.04669071008856559,222.0,5.0,0.043231277958840665,-0.038027222422864826,-0.02948857412333363,-0.026127441914361692,222,2007-04-30,2026-07-31,10,222,0.1,1.69591261053368
US,Exclude Inflation Rate Shock,Direct Short Variance 10% Vol (VRP > 0),0.08363169488254396,0.16418570992422415,0.5918058326155228,0.6610305306697022,-0.3977420348062516,0.21026617144773924,-0.027323062347901182,-0.13287951686697327,0.040590834960304335,222.0,5.0,0.029773692406972477,-0.04936883201876252,-0.04294615967520182,-0.03958502746622988,222,2007-04-30,2026-07-31,10,222,0.1,1.6418570992422414
