Market,Strategy,Model Group,Ann. Return,Ann. Vol,Sharpe,Sortino,Max Drawdown,Calmar,VaR 95,CVaR 95,Avg Turnover,Obs
US,Buy-and-Hold Equity,Benchmark,0.10993337970096806,0.15510803046323177,0.7533455691170752,1.1507725462647085,-0.507848175284537,0.2164689863055521,-0.07390829795287199,-0.09722619704494061,0.0,232.0
US,60/40,Benchmark,0.07995262617195475,0.09923267078730218,0.8272960763360888,1.2764032839649218,-0.32347199802837046,0.24717016205199446,-0.04218923839071831,-0.06283539015620203,0.016251439746298054,232.0
US,1/N Equity-Bond,Benchmark,0.07200402944150208,0.08617437527546094,0.8523021654919818,1.3204264473250191,-0.2689281306914726,0.26774450577693043,-0.03596103867868373,-0.05481462670715548,0.016931420947487345,232.0
US,Pure VRP Proxy,Synthetic Log-VRP Proxy,0.37442697397030145,0.12127520322321873,2.7167672874764737,6.50202395974055,-0.15144312938760607,2.4723932705589227,-0.024950576274079074,-0.05696839684899802,0.003729947435528302,232.0
US,Direct Short Variance 5% Vol,Direct Variance Approximation,0.053211202660093715,0.08305994803845848,0.6707890549556992,0.7553874816088434,-0.19994474205385526,0.26612954216000956,-0.016055782839401664,-0.07173234410019266,0.02306314670064574,232.0
US,Direct Short Variance 10% Vol,Direct Variance Approximation,0.09882000010320335,0.16611989607691696,0.6707890549556992,0.7553874816088434,-0.3977420348062516,0.24845249296152624,-0.03211156567880333,-0.14346468820038533,0.04612629340129148,232.0
US,Direct Short Variance 10% Vol (VRP > 0),Direct Variance Approximation,0.08180825464557229,0.16066555889790546,0.5898282450372914,0.6590418445188885,-0.3977420348062516,0.20568169186699814,-0.027154161936571757,-0.13287951686697327,0.039858105056402415,232.0
US,Direct Short Variance 10% Vol (High VRP),Direct Variance Approximation,0.062320749747014625,0.07174096946754084,0.8816668516675211,1.218248930380842,-0.23464506501608817,0.2655958255194571,-0.01220749630109555,-0.05263641994319981,0.020132469610168235,232.0
EU,Buy-and-Hold Equity,Benchmark,0.04572915275588274,0.16754629326952453,0.35111088745231794,0.5189896950292248,-0.3741869288491497,0.1222093804733571,-0.07379901897771529,-0.10103173486314589,0.0,170.0
EU,60/40,Benchmark,0.03613219583853988,0.10800308698842823,0.38299237963180516,0.5661575763704784,-0.22182496805067675,0.16288606353043786,-0.04699360019131061,-0.06462196930775826,0.017139270708845935,170.0
EU,1/N Equity-Bond,Benchmark,0.03313423763116141,0.09393943341391474,0.39431270273077906,0.5821400462030913,-0.19661724252930313,0.16852152540092308,-0.04210153485233799,-0.05681901062160975,0.017849530415864963,170.0
EU,Pure VRP Proxy,Synthetic Log-VRP Proxy,0.2933212107436589,0.11380201755768461,2.3396733325285752,6.139775079448165,-0.1043560963187724,2.8107721646434753,-0.034775339134834035,-0.04420055160648601,0.0035340079522443507,170.0
EU,Direct Short Variance 5% Vol,Direct Variance Approximation,0.0678122136100443,0.056855719238036985,1.1859715834566142,1.6062059908596817,-0.10996122393466923,0.6166920591056104,-0.024743440500115767,-0.045649768651575384,0.027006551171736306,170.0
EU,Direct Short Variance 10% Vol,Direct Variance Approximation,0.135973043259211,0.11371143847607397,1.1859715834566142,1.6062059908596817,-0.21360736588724494,0.6365559665717985,-0.04948688100023153,-0.09129953730315077,0.05401310234347261,170.0
EU,Direct Short Variance 10% Vol (VRP > 0),Direct Variance Approximation,0.13078430819374431,0.0969590268794511,1.3239358698465213,1.8912768988553412,-0.21360736588724505,0.6122649734034932,-0.036603067304811145,-0.07342976626315853,0.043876925419398465,170.0
EU,Direct Short Variance 10% Vol (High VRP),Direct Variance Approximation,0.06433288685606153,0.07644154643360092,0.8573140767359271,1.1709002548109357,-0.16942066701027925,0.37972278111830515,-0.013106418424765898,-0.05319161793953022,0.023289544125737277,170.0
