Market,Dimension,Parameter Label,Parameter Value,Strategy,Ann. Return,Ann. Vol,Sharpe,Sortino,Max Drawdown,Calmar,VaR 95,CVaR 95,Avg Turnover,Obs,Gamma,MV CEQ Ann.,CRRA CE Ann.,Delta MV CEQ vs 60/40,Delta MV CEQ vs 1/N,Welfare Obs,Welfare Start,Welfare End,Common Obs,Common Start,Common End,Target Ann. Vol,Realized / Target Vol
US,Volatility Lookback,12 months,12.0,Direct Short Variance 5% Vol,0.10634658328603797,0.11146012376016852,0.9699481305197166,1.21117741499347,-0.22810376288728906,0.4662202058393315,-0.020715433948502816,-0.09881967555535276,0.036915857642891806,220.0,5.0,0.07705214069709149,0.07081392618566085,0.01588772485225081,0.019494332713929044,220,2008-04-30,2026-07-31,220,2008-04-30,2026-07-31,0.05,2.2292024752033703
US,Volatility Lookback,12 months,12.0,Direct Short Variance 10% Vol,0.20431011974256208,0.22292024752033704,0.9699481305197166,1.21117741499347,-0.44840450483408656,0.4556379731692449,-0.04143086789700563,-0.19763935111070552,0.07383171528578361,220.0,5.0,0.09198748545102256,-0.011610116855913732,0.030823069606181884,0.03442967746786012,220,2008-04-30,2026-07-31,220,2008-04-30,2026-07-31,0.1,2.2292024752033703
US,Volatility Lookback,12 months,12.0,Direct Short Variance 10% Vol (VRP > 0),0.1813501299535003,0.21935403817154817,0.892857314622243,1.109367545302061,-0.46718864375971847,0.38817324088633276,-0.03653983132398862,-0.19182054179100172,0.0660303722816579,220.0,5.0,0.07556137231798096,-0.02609514741756569,0.014396956473140286,0.01800356433481852,220,2008-04-30,2026-07-31,220,2008-04-30,2026-07-31,0.1,2.1935403817154815
US,Volatility Lookback,12 months,12.0,Direct Short Variance 10% Vol (High VRP),0.08100746625759725,0.1615119908367543,0.5780370331583381,0.7187353099855894,-0.5068747946996663,0.15981750740948922,-0.009551543281090766,-0.11707017210206701,0.03123419940793134,220.0,5.0,0.028144604042644638,-0.03061752257071071,-0.03301981180219604,-0.029413203940517805,220,2008-04-30,2026-07-31,220,2008-04-30,2026-07-31,0.1,1.615119908367543
US,Volatility Lookback,24 months,24.0,Direct Short Variance 5% Vol,0.060694099596272366,0.09364477649918422,0.6816387891003713,0.7787983650400288,-0.20706043048482414,0.29312263793791715,-0.017304581166284066,-0.08709047203851766,0.026319421384995798,220.0,5.0,0.041908551644523444,0.03496213956992267,-0.019255864200317233,-0.015649256338639,220,2008-04-30,2026-07-31,220,2008-04-30,2026-07-31,0.05,1.8728955299836842
US,Volatility Lookback,24 months,24.0,Direct Short Variance 10% Vol,0.1117610350461049,0.18728955299836844,0.6816387891003713,0.7787983650400288,-0.4117528942063656,0.2714274425721258,-0.03460916233256813,-0.17418094407703533,0.052638842769991596,220.0,5.0,0.03997038246113605,-0.05530230986812745,-0.021194033383704625,-0.01758742552202639,220,2008-04-30,2026-07-31,220,2008-04-30,2026-07-31,0.1,1.8728955299836842
US,Volatility Lookback,24 months,24.0,Direct Short Variance 10% Vol (VRP > 0),0.09673697560410899,0.18264581288344145,0.6188812437620393,0.7031350443376818,-0.41175289420636574,0.23493939439227243,-0.02288691114082454,-0.16302824344519623,0.04534232060635768,220.0,5.0,0.029637335435600178,-0.0638173218961775,-0.0315270804092405,-0.027920472547562265,220,2008-04-30,2026-07-31,220,2008-04-30,2026-07-31,0.1,1.8264581288344144
US,Volatility Lookback,24 months,24.0,Direct Short Variance 10% Vol (High VRP),0.06384216906225704,0.09943361502540196,0.6775551973492658,0.85274562005643,-0.3258927657672137,0.19589931341973915,-0.010185481875989173,-0.07177749084289986,0.02136704351295932,220.0,5.0,0.04265415315913755,0.035175693820132636,-0.018510262685703126,-0.014903654824024892,220,2008-04-30,2026-07-31,220,2008-04-30,2026-07-31,0.1,0.9943361502540196
US,Volatility Lookback,36 months,36.0,Direct Short Variance 5% Vol,0.05304437154327357,0.08454921959106891,0.6587572123278342,0.7388067826029984,-0.19994474205385526,0.26529515604359344,-0.015397837499497921,-0.07548423114144998,0.022716478511049503,220.0,5.0,0.0378259818686595,0.031874309141171064,-0.023338433976181176,-0.019731826114502943,220,2008-04-30,2026-07-31,220,2008-04-30,2026-07-31,0.05,1.690984391821378
US,Volatility Lookback,36 months,36.0,Direct Short Variance 10% Vol,0.09806216381284538,0.16909843918213782,0.6587572123278342,0.7388067826029984,-0.3977420348062516,0.24654714672190356,-0.030795674998995843,-0.15096846228289995,0.045432957022099006,220.0,5.0,0.039909111070025025,-0.041681666706101295,-0.021255304774815652,-0.01764869691313742,220,2008-04-30,2026-07-31,220,2008-04-30,2026-07-31,0.1,1.690984391821378
US,Volatility Lookback,36 months,36.0,Direct Short Variance 10% Vol (VRP > 0),0.08148948204297368,0.16346897647958503,0.5816396988803997,0.6470906143651541,-0.3977420348062515,0.20488023621307444,-0.027019041607508218,-0.13942100264645044,0.03907821409892207,220.0,5.0,0.028274780577665186,-0.05134693365450482,-0.03288963526717549,-0.029283027405497257,220,2008-04-30,2026-07-31,220,2008-04-30,2026-07-31,0.1,1.6346897647958503
US,Volatility Lookback,36 months,36.0,Direct Short Variance 10% Vol (High VRP),0.06504061807721206,0.0710376036554996,0.9258845447837234,1.2824208256983078,-0.23464506501608806,0.2771872405360524,-0.011018245585493776,-0.05177769906803641,0.01908238465969764,220.0,5.0,0.05315676649030919,0.052860635844906856,-0.008007649354531486,-0.004401041492853253,220,2008-04-30,2026-07-31,220,2008-04-30,2026-07-31,0.1,0.710376036554996
US,Volatility Lookback,60 months,60.0,Direct Short Variance 5% Vol,0.0444038521241481,0.07493073863917624,0.6213702192272982,0.6851299475444043,-0.19921431213439178,0.2228948896713448,-0.014693790820042277,-0.07056942219757271,0.019031689799668548,220.0,5.0,0.032523190512556976,0.028527908550386893,-0.0286412253322837,-0.025034617470605466,220,2008-04-30,2026-07-31,220,2008-04-30,2026-07-31,0.05,1.4986147727835246
