Market,Strategy,Model Group,Gamma,Obs,Start,End,Ann. Arithmetic Mean,Ann. Geometric Return,Ann. Vol,MV CEQ Ann.,CRRA CE Ann.,Min Monthly Return,CRRA Domain Valid,Delta MV CEQ Ann. vs 60/40,Delta MV CEQ CI Low vs 60/40,Delta MV CEQ CI High vs 60/40,Delta MV CEQ Positive vs 60/40,Delta CRRA CE Ann. vs 60/40,Delta CRRA CE CI Low vs 60/40,Delta CRRA CE CI High vs 60/40,Delta CRRA CE Positive vs 60/40,Bootstrap P(Delta MV <= 0) vs 60/40,Bootstrap P(Delta CRRA <= 0) vs 60/40,Fee Eq. bps vs 60/40,CRRA Fee Eq. bps vs 60/40,Delta MV CEQ Ann. vs 1/N Equity-Bond,Delta MV CEQ CI Low vs 1/N Equity-Bond,Delta MV CEQ CI High vs 1/N Equity-Bond,Delta MV CEQ Positive vs 1/N Equity-Bond,Delta CRRA CE Ann. vs 1/N Equity-Bond,Delta CRRA CE CI Low vs 1/N Equity-Bond,Delta CRRA CE CI High vs 1/N Equity-Bond,Delta CRRA CE Positive vs 1/N Equity-Bond,Bootstrap P(Delta MV <= 0) vs 1/N Equity-Bond,Bootstrap P(Delta CRRA <= 0) vs 1/N Equity-Bond,Fee Eq. bps vs 1/N Equity-Bond,CRRA Fee Eq. bps vs 1/N Equity-Bond
EU,Synthetic Pure VRP Proxy,Exploratory Synthetic VRP,1.0,170,2011-06-30,2026-07-31,0.2662595456676634,0.2933212107436589,0.11380201755768461,0.25978409606756364,0.29332121074365936,-0.0628140731107406,True,0.22425207017379967,0.17003969138778968,0.2814653440257845,True,0.2571890149051197,0.19420556170043662,0.32769855862760927,True,0.0,0.0,2242.5207017379967,2571.890149051197,0.22715489276018852,0.17414788245086915,0.2824882393941751,True,0.26018697311249883,0.19677732015321192,0.3318745044408505,True,0.0,0.0,2271.548927601885,2601.8697311249884
EU,Direct Short Variance 10% Vol,Direct Variance Approximation,1.0,170,2011-06-30,2026-07-31,0.1348585347465985,0.13597304325921056,0.11371143847607389,0.12839338912644954,0.13597304325921034,-0.1478018103607423,True,0.09286136323268557,0.03801402161405489,0.15371281678940388,True,0.09984084742067068,0.03940915545249884,0.167851063702614,True,0.0,0.0,928.6136323268556,998.4084742067067,0.09576418581907442,0.039143305739709366,0.15614448112726645,True,0.10283880562804981,0.04089792934111882,0.17236682928222316,True,0.0,0.0,957.6418581907442,1028.3880562804982
EU,Direct Short Variance 10% Vol (VRP > 0),Direct Variance Approximation,1.0,170,2011-06-30,2026-07-31,0.12836753359111813,0.1307843081937441,0.09695902687945103,0.12366700714441309,0.13078430819374365,-0.1360247217935008,True,0.08813498125064911,0.03140521435228643,0.14844196431884077,True,0.09465211235520399,0.03292308190346295,0.1618121464676668,True,0.001,0.001,881.3498125064912,946.5211235520399,0.09103780383703797,0.03535360139475092,0.14994737378516548,True,0.09765007056258312,0.036791612128265386,0.16299019982687563,True,0.001,0.001,910.3780383703797,976.5007056258312
EU,Direct Short Variance 5% Vol,Direct Variance Approximation,1.0,170,2011-06-30,2026-07-31,0.06742926737329913,0.06781221361004408,0.056855719238036895,0.0658129809682619,0.06781221361004408,-0.0739009051803711,True,0.030280955074497913,-0.010903494403969522,0.07332362338408097,False,0.03168001777150442,-0.011597410278194803,0.07575800176545387,False,0.078,0.0785,302.8095507449791,316.8001777150442,0.033183777660886773,-0.0038195552296534847,0.07445645666055371,False,0.03467797597888356,-0.0041359775940704386,0.07711159977921794,False,0.04,0.0405,331.8377766088677,346.7797597888356
EU,Direct Short Variance 10% Vol (High VRP),Direct Variance Approximation,1.0,170,2011-06-30,2026-07-31,0.06553441380498894,0.06433288685606131,0.07644154643360086,0.06261275879440877,0.0643328868560602,-0.1360247217935008,True,0.027080732900644784,-0.026923096543712718,0.08284177907602965,False,0.02820069101752054,-0.02875935478769735,0.08576973986991693,False,0.1785,0.1795,270.80732900644784,282.0069101752054,0.029983555487033645,-0.021003454474768826,0.08236437721200733,False,0.031198649224899677,-0.022357606901464582,0.08562198808901036,False,0.14,0.1405,299.83555487033647,311.9864922489968
EU,Buy-and-Hold Equity,Benchmark,1.0,170,2011-06-30,2026-07-31,0.05882732771920909,0.04572915275588274,0.16754629326952453,0.04479144752503032,0.04572915275588341,-0.1629649254036141,True,0.009259421631266342,-0.017976193077428364,0.03985894928397525,False,0.009596956917343746,-0.01784152873141983,0.04376861156023285,False,0.22,0.22,92.59421631266342,95.96956917343746,0.012162244217655202,-0.021804640447709463,0.05030150292851388,False,0.012594915124722883,-0.021446626739575026,0.05504288105862381,False,0.2125,0.2125,121.62244217655201,125.94915124722883
EU,60/40,Benchmark,1.0,170,2011-06-30,2026-07-31,0.04136435929327898,0.03613219583853988,0.10800308698842823,0.03553202589376398,0.03613219583853966,-0.1108168396733621,True,0.0,0.0,0.0,False,0.0,0.0,0.0,False,1.0,1.0,0.0,0.0,0.0029028225863888604,-0.0038255669931121943,0.010471331393087095,False,0.0029979582073791367,-0.0038772942563797207,0.01127338306376544,False,0.1825,0.182,29.028225863888604,29.979582073791367
EU,1/N Equity-Bond,Benchmark,1.0,170,2011-06-30,2026-07-31,0.037041511882438774,0.03313423763116141,0.09393943341391474,0.03262920330737512,0.033134237631160524,-0.0977640758101842,True,-0.0029028225863888604,-0.010471331393087107,0.003825566993112188,False,-0.0029979582073791367,-0.01127338306376544,0.0038772942563797203,False,0.8175,0.818,-29.028225863888604,-29.979582073791367,0.0,0.0,0.0,False,0.0,0.0,0.0,False,1.0,1.0,0.0,0.0
EU,Synthetic Pure VRP Proxy,Exploratory Synthetic VRP,3.0,170,2011-06-30,2026-07-31,0.2662595456676634,0.2933212107436589,0.11380201755768461,0.24683319686736407,0.2776189619656384,-0.0628140731107406,True,0.22296583777263007,0.1690440687165141,0.27960833174186395,True,0.25357693634078293,0.1918743820260337,0.322711983870855,True,0.0,0.0,2229.658377726301,2535.769363407829,0.2230286107101163,0.17143501245120363,0.27835867631795913,True,0.2536076223489261,0.19259816715387096,0.32423418944015564,True,0.0,0.0,2230.286107101163,2536.076223489261
EU,Direct Short Variance 10% Vol,Direct Variance Approximation,3.0,170,2011-06-30,2026-07-31,0.1348585347465985,0.13597304325921056,0.11371143847607389,0.11546309788615158,0.11977851356599833,-0.1478018103607423,True,0.0915957387914176,0.033058444961477626,0.15520147363522596,True,0.09573648794114287,0.031371075440211865,0.16716216883527646,True,0.0005,0.001,915.9573879141759,957.3648794114287,0.0916585117289038,0.032880989726989246,0.15534586977347314,True,0.09576717394928602,0.03078215303674099,0.1682381811745881,True,0.001,0.001,916.585117289038,957.6717394928602
