date,signal_date,strategy,model,features,feature_count,stress_probability,predicted_stress,actual_stress,train_stress_rate,return_threshold,rv_threshold,equity_weight,bond_weight,turnover,gross_return,net_return,next_equity_return,next_realized_variance,train_obs,fit_status,error_message
2012-02-29,2012-01-31,ML Logistic Base,Logistic,equity_ret + bond_ret + log_rv_ann + log_iv_ann,4,0.21639388091369544,0,0,0.3055555555555556,-0.03107264108505382,0.06977431435421386,0.6701636714517829,0.3298363285482171,0.2934709843748351,0.02904437488568969,0.028750903901314854,0.0434056984734232,0.0073543583714155,72,fitted,
2012-03-31,2012-02-29,ML Logistic Base,Logistic,equity_ret + bond_ret + log_rv_ann + log_iv_ann,4,0.2079644888814713,0,0,0.3055555555555556,-0.03107264108505382,0.06977431435421386,0.6752213066711172,0.32477869332888276,0.010115270438668666,0.019856749171050025,0.019846633900611355,0.0321635863595661,0.0131720446982552,72,fitted,
2012-04-30,2012-03-31,ML Logistic Base,Logistic,equity_ret + bond_ret + log_rv_ann + log_iv_ann,4,0.22836362163549043,0,0,0.3055555555555556,-0.03107264108505382,0.06977431435421386,0.6629818270187059,0.3370181729812941,0.02447895930482269,-0.0013727106772934501,-0.0013971896365982729,-0.0066757506999459,0.0190166819597253,72,fitted,
2012-05-31,2012-04-30,ML Logistic Base,Logistic,equity_ret + bond_ret + log_rv_ann + log_iv_ann,4,0.2477676226942407,0,1,0.3055555555555556,-0.03107264108505382,0.06977431435421386,0.6513394263834555,0.34866057361654446,0.0232848012705007,-0.03535726697571346,-0.03538055177698396,-0.0600555737185005,0.0184635370320247,72,fitted,
2012-06-30,2012-05-31,ML Logistic Base,Logistic,equity_ret + bond_ret + log_rv_ann + log_iv_ann,4,0.40041687919513247,0,0,0.3055555555555556,-0.03533607479626376,0.06977431435421386,0.5597498724829205,0.4402501275170795,0.18317910780107005,0.022628373284677775,0.022445194176876706,0.0405811990245525,0.0416179538698594,72,fitted,
2012-07-31,2012-06-30,ML Logistic Base,Logistic,equity_ret + bond_ret + log_rv_ann + log_iv_ann,4,0.38683342826602896,0,0,0.3055555555555556,-0.03533607479626376,0.06977431435421386,0.5678999430403826,0.4321000569596174,0.01630014111492417,0.012603821779299907,0.012587521638184983,0.0118296419497001,0.0188292832116557,72,fitted,
2012-08-31,2012-07-31,ML Logistic Base,Logistic,equity_ret + bond_ret + log_rv_ann + log_iv_ann,4,0.2716547330311304,0,0,0.3055555555555556,-0.03533607479626376,0.06977431435421386,0.6370071601813218,0.36299283981867825,0.1382144342818783,0.01595853384079485,0.015820319406512972,0.0250523617917455,0.0079970053660368,72,fitted,
2012-09-30,2012-08-31,ML Logistic Base,Logistic,equity_ret + bond_ret + log_rv_ann + log_iv_ann,4,0.19105795768452424,0,0,0.3055555555555556,-0.03533607479626376,0.06977431435421386,0.6853652253892856,0.31463477461071443,0.09671613041592764,0.018213407386339572,0.018116691255923644,0.0253509542714824,0.012787973643012,72,fitted,
2012-10-31,2012-09-30,ML Logistic Base,Logistic,equity_ret + bond_ret + log_rv_ann + log_iv_ann,4,0.18946744787135608,0,0,0.3055555555555556,-0.03533607479626376,0.06977431435421386,0.6863195312771864,0.31368046872281363,0.0019086117758015941,-0.01263800936975571,-0.012639917981531513,-0.0181984465942166,0.0111640835734069,72,fitted,
2012-11-30,2012-10-31,ML Logistic Base,Logistic,equity_ret + bond_ret + log_rv_ann + log_iv_ann,4,0.2432807365776108,0,0,0.3055555555555556,-0.03533607479626376,0.06977431435421386,0.6540315580534335,0.3459684419465665,0.06457594644750575,0.004638192528718101,0.004573616582270595,0.0056596591664745,0.0222651919464717,72,fitted,
2012-12-31,2012-11-30,ML Logistic Base,Logistic,equity_ret + bond_ret + log_rv_ann + log_iv_ann,4,0.2426188031895931,0,0,0.3055555555555556,-0.03533607479626376,0.06977431435421386,0.6544287180862443,0.34557128191375575,0.0007943200656215232,0.004999560983497436,0.004998766663431815,0.008934591377669,0.0121228158935489,72,fitted,
2013-01-31,2012-12-31,ML Logistic Base,Logistic,equity_ret + bond_ret + log_rv_ann + log_iv_ann,4,0.23731974557900024,0,0,0.3055555555555556,-0.03533607479626376,0.06977431435421386,0.6576081526526,0.3423918473474,0.006358869132711442,0.031536126341050845,0.03152976747191814,0.0511901683618252,0.0107814717977941,72,fitted,
2013-02-28,2013-01-31,ML Logistic Base,Logistic,equity_ret + bond_ret + log_rv_ann + log_iv_ann,4,0.15220220808563803,0,0,0.3055555555555556,-0.03533607479626376,0.06977431435421386,0.7086786751486172,0.29132132485138285,0.10214104499203436,0.010763496232255563,0.010661355187263528,0.0127590213208466,0.0157771665562433,72,fitted,
2013-03-31,2013-02-28,ML Logistic Base,Logistic,equity_ret + bond_ret + log_rv_ann + log_iv_ann,4,0.17879361933564253,0,0,0.3055555555555556,-0.03533607479626376,0.06977431435421386,0.6927238283986146,0.30727617160138543,0.031909693500005165,0.026606087935038235,0.02657417824153823,0.0379711887423981,0.0061156058796676,72,fitted,
2013-04-30,2013-03-31,ML Logistic Base,Logistic,equity_ret + bond_ret + log_rv_ann + log_iv_ann,4,0.07740895165046174,0,0,0.3055555555555556,-0.03533607479626376,0.06977431435421386,0.753554629009723,0.24644537099027697,0.12166160122221692,0.016864432548773796,0.01674277094755158,0.0192120425258286,0.0201297160662904,72,fitted,
2013-05-31,2013-04-30,ML Logistic Base,Logistic,equity_ret + bond_ret + log_rv_ann + log_iv_ann,4,0.15321034340493794,0,0,0.3055555555555556,-0.03533607479626376,0.06977431435421386,0.7080737939570374,0.2919262060429626,0.09096167010537126,0.010875758039485307,0.010784796369379936,0.0236100506671108,0.0105088114329687,72,fitted,
2013-06-30,2013-05-31,ML Logistic Base,Logistic,equity_ret + bond_ret + log_rv_ann + log_iv_ann,4,0.22557427559150423,0,0,0.3055555555555556,-0.03533607479626376,0.06977431435421386,0.6646554346450975,0.33534456535490254,0.08683671862387987,-0.014118977686960639,-0.014205814405584518,-0.0133447853857828,0.0300261699601843,72,fitted,
2013-07-31,2013-06-30,ML Logistic Base,Logistic,equity_ret + bond_ret + log_rv_ann + log_iv_ann,4,0.3508184469437695,0,0,0.3055555555555556,-0.03533607479626376,0.06977431435421386,0.5895089318337383,0.4104910681662617,0.1502930056227183,0.031568343715284095,0.031418050709661374,0.0516768409309673,0.0058845046247947,72,fitted,
