Market,Dimension,Parameter Label,Parameter Value,Strategy,Ann. Return,Ann. Vol,Sharpe,Sortino,Max Drawdown,Calmar,VaR 95,CVaR 95,Avg Turnover,Obs,Gamma,MV CEQ Ann.,CRRA CE Ann.,Delta MV CEQ vs 60/40,Delta MV CEQ vs 1/N,Welfare Obs,Welfare Start,Welfare End,Common Obs,Common Start,Common End,Target Ann. Vol,Realized / Target Vol
US,Transaction Costs,0 bps,0.0,Direct Short Variance 5% Vol,0.05350174921152573,0.08305931602601428,0.6741262086995502,0.7593810785980218,-0.19985990331958636,0.26769626284654835,-0.016005442256022163,-0.07170565659858955,0.02306314670064574,232.0,5.0,0.03874533686302152,0.033151158295555705,-0.018731654944711663,-0.016136212408882605,232,2007-04-30,2026-07-31,232,2007-04-30,2026-07-31,0.05,1.6611863205202855
US,Transaction Costs,0 bps,0.0,Direct Short Variance 10% Vol,0.09942623238129888,0.16611863205202856,0.6741262086995502,0.7593810785980218,-0.39759145796085826,0.2500713493474679,-0.03201088451204433,-0.1434113131971791,0.04612629340129148,232.0,5.0,0.042996423832496466,-0.034776171568279945,-0.014480567975236718,-0.01188512543940766,232,2007-04-30,2026-07-31,232,2007-04-30,2026-07-31,0.1,1.6611863205202855
US,Transaction Costs,0 bps,0.0,Direct Short Variance 10% Vol (VRP > 0),0.08232485175520998,0.160665416810744,0.5928057437248989,0.6625760722025076,-0.39759145796085826,0.20705890457866585,-0.02709174823124131,-0.13281534306153012,0.039858105056402415,232.0,5.0,0.030709941505938712,-0.04516227544563001,-0.026767050301794472,-0.024171607765965414,232,2007-04-30,2026-07-31,232,2007-04-30,2026-07-31,0.1,1.60665416810744
US,Transaction Costs,0 bps,0.0,Direct Short Variance 10% Vol (High VRP),0.0625743128332994,0.0717679982067672,0.8847010632568763,1.2236132565199271,-0.23422906503972907,0.26715007730866264,-0.012162847308900304,-0.05258499469069727,0.020132469610168235,232.0,5.0,0.05061661040482818,0.05023576731840218,-0.006860381402905007,-0.004264938867075949,232,2007-04-30,2026-07-31,232,2007-04-30,2026-07-31,0.1,0.7176799820676719
US,Transaction Costs,10 bps,10.0,Direct Short Variance 5% Vol,0.053211202660093715,0.08305994803845848,0.6707890549556992,0.7553874816088434,-0.19994474205385526,0.26612954216000956,-0.016055782839401664,-0.07173234410019266,0.02306314670064574,232.0,5.0,0.03846831662900849,0.032862525773266205,-0.019008675178724697,-0.01641323264289564,232,2007-04-30,2026-07-31,232,2007-04-30,2026-07-31,0.05,1.6611989607691695
US,Transaction Costs,10 bps,10.0,Direct Short Variance 10% Vol,0.09882000010320335,0.16611989607691696,0.6707890549556992,0.7553874816088434,-0.3977420348062516,0.24845249296152624,-0.03211156567880333,-0.14346468820038533,0.04612629340129148,232.0,5.0,0.042441858417259865,-0.035363686264141214,-0.01503513339047332,-0.012439690854644261,232,2007-04-30,2026-07-31,232,2007-04-30,2026-07-31,0.1,1.6611989607691695
US,Transaction Costs,10 bps,10.0,Direct Short Variance 10% Vol (VRP > 0),0.08180825464557229,0.16066555889790546,0.5898282450372914,0.6590418445188885,-0.3977420348062516,0.20568169186699814,-0.027154161936571757,-0.13287951686697327,0.039858105056402415,232.0,5.0,0.03023153010274632,-0.04567472881216372,-0.027245461704986863,-0.024650019169157805,232,2007-04-30,2026-07-31,232,2007-04-30,2026-07-31,0.1,1.6066555889790546
US,Transaction Costs,10 bps,10.0,Direct Short Variance 10% Vol (High VRP),0.062320749747014625,0.07174096946754084,0.8816668516675211,1.218248930380842,-0.23464506501608817,0.2655958255194571,-0.01220749630109555,-0.05263641994319981,0.020132469610168235,232.0,5.0,0.05038471793566593,0.04999041732875087,-0.007092273872067255,-0.004496831336238197,232,2007-04-30,2026-07-31,232,2007-04-30,2026-07-31,0.1,0.7174096946754084
US,Transaction Costs,25 bps,25.0,Direct Short Variance 5% Vol,0.05277551732726504,0.08306093272028227,0.6657831256844511,0.7494014879775779,-0.20007199180324386,0.26378263569828353,-0.016131293714470914,-0.07177237535259734,0.02306314670064574,232.0,5.0,0.038052771047867286,0.032429698591031064,-0.0194242207598659,-0.01682877822403684,232,2007-04-30,2026-07-31,232,2007-04-30,2026-07-31,0.05,1.6612186544056453
US,Transaction Costs,25 bps,25.0,Direct Short Variance 10% Vol,0.09791121179930107,0.16612186544056454,0.6657831256844511,0.7494014879775779,-0.39796786666628203,0.24602793340952075,-0.03226258742894183,-0.14354475070519468,0.04612629340129148,232.0,5.0,0.04160994937391829,-0.0362444548761609,-0.01586704243381489,-0.013271599897985834,232,2007-04-30,2026-07-31,232,2007-04-30,2026-07-31,0.1,1.6612186544056453
