Date,Synthetic Pure VRP Proxy,Buy-and-Hold Equity,60/40,1/N Equity-Bond,HMM RV + Log VRP (full),HMM RV + Log VRP (partial 0.25),RSM RV + Raw VRP
2011-04-30,0.0518920517132699,0.0289614558246773,0.0236403730798673,0.0223113919777598,0.0186096387222182,0.0186096387222182,0.0207321693483446
2011-05-31,0.0245818538473981,-0.0112150116711604,-0.0017810340203961,0.0005798538239209,-0.0074965795212217,0.0021325877143362,0.0018938429164458
2011-06-30,0.0051565827338171,-0.0168694270735204,-0.0119086324761157,-0.0106671692764314,-0.0143756504174555,-0.0110193923318788,-0.0121288235105183
2011-07-31,0.0067156825682157,-0.0200042753828274,-0.0052734923168119,-0.00158702148404,0.0063594147690191,0.0002699342089384,-0.0091159312907162
2011-08-31,-0.0511930030912391,-0.0549755921765928,-0.0269379869910271,-0.019921115400807,-0.0026197669531298,-0.0123740214229544,-0.0405418441930017
2011-09-30,0.0054587679602223,-0.0694210325950378,-0.0386088106592953,-0.0308974138691966,-0.0078274554205432,-0.0179144658878836,-0.010836894765985
2011-10-31,0.0233719277313685,0.1091476617141895,0.0659457333696459,0.0551548543762661,0.0228409616659199,0.031980686368109,0.0864224711023004
2011-11-30,0.0001728808917371,-0.0040639721662396,-0.0037618234042391,-0.0036862102710928,-0.0034590548909386,-0.0035726534052354,-0.0039127156242304
2011-12-31,0.025919005790899,0.0104483882873431,0.0116947351651962,0.0120066307101214,0.0129397821831287,0.012717269019608,0.0110723849753179
2012-01-31,0.0787523178462744,0.0463743287623406,0.0307087753630457,0.0267961099388796,0.0210149572627865,0.0183369911173826,0.0383769584441834
2012-02-29,0.060433991817196,0.0434057764990767,0.0259687874679016,0.0216136936348324,0.0338035702126126,0.0178630734515748,0.0240531756096657
2012-03-31,0.0323281531221031,0.032163299683811,0.0169882913566601,0.0131981955203544,0.0245749156882384,0.0138709022020387,0.0171680801581242
2012-04-30,0.0079508776841739,-0.0066751970688153,-0.0003888215513833,0.0011843587801128,-0.0032594522743458,-0.0004069079792482,0.0003949237777271
2012-05-31,0.0165064509353283,-0.0600555569264167,-0.0317555260431018,-0.0246729368091913,-0.045510848309667,-0.0347277927419274,-0.0462108474271568
2012-06-30,0.0117205768203019,0.0405805920045965,0.0242501267429841,0.020171412078072,0.0067758398724885,0.0207188437047125,0.0324196416245374
2012-07-31,0.0156884468854213,0.0118299312046266,0.0125456340264512,0.012724736806685,0.0132627358203437,0.0126581628975154,0.012162756960918
2012-08-31,0.0542562293026687,0.0250522205263308,0.0150194061725195,0.0125136401926081,0.0185284772188043,0.0131282217111711,0.0191270035323753
2012-09-30,0.0407928543877459,0.0253513712038575,0.0162663779936226,0.0139973369562711,0.0207865080492163,0.0162077789204058,0.0156215620104895
2012-10-31,0.0391384494484372,-0.0181985089050384,-0.0111161589572282,-0.0093437627804151,-0.0144381145783764,-0.0121300019479488,-0.0108207206845542
2012-11-30,0.021679376195121,0.0056595895558655,0.0044766591590142,0.0041812201901986,0.0050413095445827,0.0046576250797356,0.0046347332199773
2012-12-31,0.0388533261140241,0.0089346582246498,0.0043747312848087,0.0032358767724188,0.0017392891525088,0.0045194344066822,0.0062877715828789
2013-01-31,0.0584516800664602,0.0511898206994922,0.0282020502678044,0.022460533606667,0.038960577606606,0.0321306795433253,0.0360800881295198
2013-02-28,0.0164649482920297,0.0127592154845372,0.0100158797479534,0.0093307217371398,0.0113847155737284,0.0107220768906414,0.0097827252703674
2013-03-31,0.1024841473446576,0.0379710596025986,0.023159396677152,0.0194600301736124,0.0305031698650984,0.0280895349185298,0.0267676197538689
2013-04-30,-0.0148924833116076,0.0192125320887526,0.0153975583371672,0.0144447486622595,0.0173032475864241,0.0168562466323511,0.0164065071871324
2013-05-31,0.0325320212325749,0.0236096214819978,0.0061403777599855,0.0017773078391857,0.0142817456485772,0.0133351797179312,0.0067663398251795
2013-06-30,-0.0072284218052764,-0.0133445513201244,-0.0142696648983636,-0.0145007092266782,-0.0138330738530846,-0.0138678631721927,-0.0142728533636463
2013-07-31,0.085242927972506,0.051677065903003,0.0320598600518168,0.0271601917445855,0.038204940233411,0.0402275388579988,0.0414696885283553
2013-08-31,0.0300351029512537,-0.0299928210952651,-0.0213115498409557,-0.0191389871578498,-0.0257884336312049,-0.02525474223768,-0.0251411686848801
2013-09-30,0.0738238382902801,0.0316466889472044,0.023460758330695,0.0214162529031761,0.0275518438095048,0.0272021667325958,0.0274836914718536
2013-10-31,0.0263676713187299,0.0463067749878471,0.031097035848654,0.0272982163821878,0.0387094332601889,0.038318912363426,0.031183048958663
2013-11-30,0.0449895021589281,0.0296373295875631,0.0167645391510747,0.0135494527698855,0.0230340727769658,0.0230688652377338,0.0117506383678346
2013-12-31,0.0349641605529592,0.0259267830266984,0.0133139567852486,0.0101638098245107,0.019614630952707,0.0196450089459591,0.0135104423704436
2014-01-31,0.0081744032983786,-0.0352482048557485,-0.015009773266083,-0.0099448909557108,-0.0251057171235968,-0.0253253373005834,-0.0147939977444637
2014-02-28,0.0360478261284036,0.0455158519595884,0.0287955314025265,0.0246194268509759,0.0369943282046678,0.0369952330129021,0.0367562075772588
2014-03-31,0.03563104080657,0.0082953958389568,0.0043804387410214,0.0034026680285948,0.0062909441009186,0.006342811340798,0.0019674323324364
2014-04-30,0.0092453001828619,0.0069516456001319,0.0074568928492509,0.0075833302666369,0.007195821836711,0.0072013493669041,0.0068384916661692
2014-05-31,0.0611130628544025,0.0232064176667261,0.0186348657015165,0.0174930920777856,0.0208641599855274,0.0209194108018948,0.0201424583243924
2014-06-30,0.0810464004411899,0.0206445162362063,0.0121463201407795,0.0100238456399493,0.0163891294495413,0.0164259455224075,0.0162325439877483
2014-07-31,0.01663033592752,-0.0134375568515321,-0.009071432796592,-0.0079787928550756,-0.0112520102672126,-0.0112915689154549,-0.0112067506769811
2014-08-31,0.1035578837026214,0.0394639444634357,0.0282640050078161,0.0254667028689108,0.0338628771007729,0.0339029820771906,0.0337962350271925
2014-09-30,0.0344387812277023,-0.0137967129148081,-0.0107411317753489,-0.0099764603797901,-0.0122664104453984,-0.0123012232099896,-0.0115810177126035
2014-10-31,-0.012875076295176,0.0235509938100413,0.0183810416348247,0.0170898132042961,0.0209674055911699,0.0209950160162156,0.020648192456992
2014-11-30,0.0906419453191678,0.0274719899991322,0.0191013699136525,0.0170107448129017,0.0206756802672293,0.0227002956123233,0.0170991085653452
2014-12-31,-0.0134089061595966,-0.0025365507141607,-0.0009336269242342,-0.0005324935837054,-0.0019623768829956,-0.0016791488148899,-0.0022427075697698
2015-01-31,0.013604511177116,-0.0296292215324748,-0.009592601418735,-0.0045782551495691,-0.0192714132624447,-0.0188752136974941,-0.0195718595680575
