Market,Strategy,Model Group,Gamma,Obs,Start,End,Ann. Arithmetic Mean,Ann. Geometric Return,Ann. Vol,MV CEQ Ann.,CRRA CE Ann.,Min Monthly Return,CRRA Domain Valid,Delta MV CEQ Ann. vs 60/40,Delta MV CEQ CI Low vs 60/40,Delta MV CEQ CI High vs 60/40,Delta MV CEQ Positive vs 60/40,Delta CRRA CE Ann. vs 60/40,Delta CRRA CE CI Low vs 60/40,Delta CRRA CE CI High vs 60/40,Delta CRRA CE Positive vs 60/40,Bootstrap P(Delta MV <= 0) vs 60/40,Bootstrap P(Delta CRRA <= 0) vs 60/40,Fee Eq. bps vs 60/40,CRRA Fee Eq. bps vs 60/40,Delta MV CEQ Ann. vs 1/N Equity-Bond,Delta MV CEQ CI Low vs 1/N Equity-Bond,Delta MV CEQ CI High vs 1/N Equity-Bond,Delta MV CEQ Positive vs 1/N Equity-Bond,Delta CRRA CE Ann. vs 1/N Equity-Bond,Delta CRRA CE CI Low vs 1/N Equity-Bond,Delta CRRA CE CI High vs 1/N Equity-Bond,Delta CRRA CE Positive vs 1/N Equity-Bond,Bootstrap P(Delta MV <= 0) vs 1/N Equity-Bond,Bootstrap P(Delta CRRA <= 0) vs 1/N Equity-Bond,Fee Eq. bps vs 1/N Equity-Bond,CRRA Fee Eq. bps vs 1/N Equity-Bond
US,Synthetic Pure VRP Proxy,Exploratory Synthetic VRP,1.0,184,2011-04-30,2026-07-31,0.338597232447474,0.3874605634624442,0.11617938548609183,0.33184840764151097,0.38746056346244395,-0.0918682423644182,True,0.24178428038568414,0.19209510720229045,0.3049355117532933,True,0.2935561500389814,0.2294341047137441,0.3816003987540622,True,0.0,0.0,2417.8428038568413,2935.561500389814,0.2525201980710924,0.20208103345515677,0.31762806226633544,True,0.30516297756060773,0.23972480637195528,0.3964375178738262,True,0.0,0.0,2525.2019807109236,3051.629775606077
US,Buy-and-Hold Equity,Benchmark,1.0,184,2011-04-30,2026-07-31,0.1413971124429101,0.13957373626488878,0.1420391373327036,0.13130955417580079,0.1395737362648901,-0.1248712409272528,True,0.04124542691997396,0.020972190936128232,0.06214444596632165,True,0.04566932284142755,0.022235025536791905,0.07155898220811144,True,0.0,0.0,412.4542691997396,456.6932284142755,0.0519813446053822,0.026682396700587113,0.07809764791980954,True,0.05727615036305389,0.028125143116340467,0.0892134580744288,True,0.0,0.0,519.813446053822,572.7615036305389
US,RSM RV + Raw VRP,RSM,1.0,184,2011-04-30,2026-07-31,0.09727466115702856,0.09606406710339166,0.10254303721588261,0.09201712391629961,0.09606406710339055,-0.1009697131128694,True,0.001952996660472786,-0.011242448024810042,0.017303284263220114,False,0.0021596536799279864,-0.012356940997799382,0.018646716024067762,False,0.355,0.3535,19.52996660472786,21.596536799279864,0.012688914345881028,-0.0008213408005626706,0.028191967930979465,False,0.013766481201554326,-0.000848676926258518,0.030315245505423683,False,0.0335,0.0335,126.88914345881028,137.66481201554325
US,60/40,Benchmark,1.0,184,2011-04-30,2026-07-31,0.0943069762882626,0.09390441342346367,0.09211784878551788,0.09006412725582683,0.09390441342346256,-0.0770922486000828,True,0.0,0.0,0.0,False,0.0,0.0,0.0,False,1.0,1.0,0.0,0.0,0.010735917685408242,0.0056666198393559965,0.01595261498467994,True,0.01160682752162634,0.006024006779692936,0.017654997877065638,True,0.0,0.0,107.35917685408242,116.0682752162634
US,HMM RV + Log VRP (partial 0.25),HMM,1.0,184,2011-04-30,2026-07-31,0.08735290937556345,0.08693791820451047,0.08618566513601572,0.08363892493809473,0.08693791820450958,-0.0735418699342671,True,-0.0064252023177320955,-0.019426998909014247,0.0054663334684180945,False,-0.006966495218952984,-0.020961799931365772,0.005885980952865144,False,0.846,0.847,-64.25202317732095,-69.66495218952984,0.004310715367676146,-0.009313284895532124,0.017792403074108152,False,0.004640332302673356,-0.009893512572077568,0.019399403555675963,False,0.2385,0.2385,43.10715367676146,46.40332302673356
US,HMM RV + Log VRP (full),HMM,1.0,184,2011-04-30,2026-07-31,0.08390789107335991,0.08356720525275096,0.08237110620085422,0.08051539150498371,0.08356720525275163,-0.0583794362721516,True,-0.009548735750843113,-0.025417699124115935,0.00926263960178937,False,-0.010337208170710932,-0.027371526364383197,0.00996881504569702,False,0.791,0.7905,-95.48735750843113,-103.37208170710932,0.001187181934565129,-0.015785753108403446,0.020760625888661278,False,0.0012696193509154075,-0.016790043542140816,0.0226757548487294,False,0.3465,0.3465,11.871819345651291,12.696193509154075
US,1/N Equity-Bond,Benchmark,1.0,184,2011-04-30,2026-07-31,0.08257103426962824,0.08229758590183689,0.08053352965330211,0.07932820957041858,0.08229758590183622,-0.0669755663537769,True,-0.010735917685408242,-0.01595261498467994,-0.005666619839355997,False,-0.01160682752162634,-0.017654997877065638,-0.006024006779692951,False,1.0,1.0,-107.35917685408242,-116.0682752162634,0.0,0.0,0.0,False,0.0,0.0,0.0,False,1.0,1.0,0.0,0.0
US,ML Random Forest + VRP,Machine Learning,1.0,184,2011-04-30,2026-07-31,0.0786075999275768,0.07814033605342585,0.07930356286296256,0.07546307238619687,0.07814033605342696,-0.060390522340569,True,-0.014601054869629954,-0.022118254973262082,-0.006494135484676347,False,-0.0157640773700356,-0.024136531665205324,-0.006925913229144428,False,1.0,1.0,-146.01054869629954,-157.64077370035602,-0.003865137184221712,-0.011126828855746439,0.004493321129343838,False,-0.004157249848409261,-0.011819666328752082,0.004749373383151308,False,0.775,0.775,-38.65137184221712,-41.57249848409261
US,ML Random Forest Base,Machine Learning,1.0,184,2011-04-30,2026-07-31,0.07716715561633358,0.07662679198357236,0.07896006261918542,0.07404980987192075,0.07662679198357236,-0.0604311502587554,True,-0.016014317383906074,-0.02478591520666857,-0.007086946840670425,False,-0.0172776214398902,-0.02709173691171119,-0.007607932119789585,False,1.0,1.0,-160.14317383906075,-172.776214398902,-0.005278399698497832,-0.01303618782513438,0.0036679465676287917,False,-0.005670793918263861,-0.013928839106542834,0.0039852905125502235,False,0.843,0.8435,-52.78399698497832,-56.70793918263861
US,ML Logistic Base,Machine Learning,1.0,184,2011-04-30,2026-07-31,0.07616762157296857,0.07580198330966237,0.07599464054406328,0.07328002887725787,0.07580198330966126,-0.0584675689815954,True,-0.01678409837856895,-0.028614833481366335,-0.006488102562838653,False,-0.018102430113801304,-0.031194298108110245,-0.00687507960277022,False,1.0,1.0,-167.8409837856895,-181.02430113801304,-0.00604818069316071,-0.015420458117644354,0.0036870242747587397,False,-0.006495602592174965,-0.01649741901824709,0.003931345091469489,False,0.8695,0.8695,-60.481806931607096,-64.95602592174964
