Market,Strategy,Model Group,Ann. Return,Ann. Vol,Sharpe,Sortino,Max Drawdown,Calmar,VaR 95,CVaR 95,Avg Turnover,Obs
US,Synthetic Pure VRP Proxy,Synthetic Direct VRP,0.3874605634624442,0.11617938548609183,2.9144346996740516,4.0317059286006005,-0.09753843973222398,3.9723883683822963,-0.0228613999807577,-0.0505198744297091,0.0037295728577735024,184.0
US,Buy-and-Hold Equity,Benchmark,0.13957373626488878,0.1420391373327036,0.9954799437545888,1.4827255289586503,-0.23927185657071537,0.5833270083046252,-0.060815889856263135,-0.08180076563721442,0.0,184.0
US,60/40,Benchmark,0.09390441342346367,0.09211784878551788,1.023764422765036,1.481108049678873,-0.2006082692170763,0.4680984178266879,-0.038529992845685646,-0.052013082298756216,0.014717179768490683,184.0
US,1/N Equity-Bond,Benchmark,0.08229758590183689,0.08053352965330211,1.0253000784281725,1.4595997257842475,-0.19102677118357592,0.43081702837739566,-0.033605790560192465,-0.04584128773457105,0.015347139708326622,184.0
US,HMM RV + Log VRP (full),HMM,0.08356720525275096,0.08237110620085422,1.0186568439272672,1.492568077554552,-0.1666869383123657,0.5013422533213061,-0.04185974779165488,-0.04864504758968732,0.25354522637722804,184.0
US,HMM RV + Log VRP (partial 0.25),HMM,0.08693791820451047,0.08618566513601572,1.0135433686994886,1.49482210618461,-0.1803892449975275,0.4819462391214181,-0.03936430737055717,-0.049979162481512796,0.09099960154147174,184.0
US,RSM RV + Raw VRP,RSM,0.09606406710339166,0.10254303721588261,0.9486227812058794,1.4117076345439648,-0.1543152289894535,0.6225183848183711,-0.03977627040294137,-0.055278947394841,0.3669280720587636,184.0
US,ML Logistic Base,Machine Learning,0.07580198330966259,0.07599464054406341,1.0022762266873948,1.4489497296448686,-0.1854012466785464,0.40885368716581544,-0.03629186786564731,-0.04352656312406902,0.17385524151298973,184.0
US,ML Logistic + VRP,Machine Learning,0.07470542083561305,0.07634108644862551,0.9846452991781284,1.4031051278927869,-0.185229665726525,0.40331239892161175,-0.036339610040112866,-0.04453458842493999,0.17623003394444173,184.0
US,ML Random Forest Base,Machine Learning,0.07662679198357258,0.07896006261918553,0.9772934956814969,1.4141450409446832,-0.1864690019249965,0.4109358187823315,-0.035759772957629825,-0.04497781357428066,0.18249081280190274,184.0
US,ML Random Forest + VRP,Machine Learning,0.07814033605342607,0.07930356286296267,0.9912240647171391,1.4335428087995334,-0.1892907584964162,0.41280586899283567,-0.03593672899500726,-0.04517655234292921,0.17451562015641386,184.0
US,ML Gradient Boosting Base,Machine Learning,0.0722031670229546,0.08061750552527547,0.9074797128398828,1.288747562673666,-0.1886747780638166,0.3826858457919208,-0.0383072511187978,-0.04728603920715828,0.2527920059750636,184.0
US,ML Gradient Boosting + VRP,Machine Learning,0.07245969149415865,0.08106758801055645,0.9058751873243218,1.2700931026306332,-0.18959163271199442,0.38218823509068567,-0.0374339081072533,-0.04769514338695657,0.2580069620606513,184.0
EU,Buy-and-Hold Equity,Benchmark,0.06878760083265467,0.1834815858759378,0.462928143724712,0.50002754850337,-0.33966111056392156,0.20251832986840979,-0.06010617380203999,-0.12151403085977118,0.0,127.0
EU,60/40,Benchmark,0.04657494221751057,0.11403260688380007,0.45904648314199853,0.4923428200199172,-0.2089810747765829,0.22286679436069906,-0.03802067944477125,-0.07598915396385789,0.01671289157618009,127.0
EU,1/N Equity-Bond,Benchmark,0.0400843291702524,0.09746697675274178,0.45390166710149965,0.4931417145880468,-0.20342779946755418,0.1970445006787072,-0.03521122831265585,-0.06563359190351144,0.017367215902472522,127.0
EU,HMM RV,HMM,0.009633792334591273,0.12328945624404268,0.14554232097340708,0.13345078391409684,-0.31971356506426296,0.03013257298812099,-0.04102050099907547,-0.09017341139759572,0.11600251399305368,127.0
EU,HMM RV + Log VRP,HMM,0.007459785421079612,0.12311239830449812,0.12807253873682592,0.11768387988868068,-0.3109797275277485,0.023988011953010605,-0.041021557445413706,-0.09059731480141854,0.1337830516577618,127.0
EU,RSM Returns Only,RSM,0.034593715240892386,0.13711367213004963,0.32188263680403967,0.32346709149169195,-0.26856928588673457,0.12880741417126088,-0.04559130399267976,-0.09655299744295354,0.1456903774296652,127.0
EU,RSM RV,RSM,0.03416650884988659,0.13729042999582272,0.3186899005695706,0.3241128625365092,-0.26918766402863903,0.12692449697936975,-0.045267723313499576,-0.0964421078889632,0.1161339914789242,127.0
EU,RSM RV + Raw VRP,RSM,0.01928000762531279,0.12019910461074874,0.22326215794844453,0.22225980423421207,-0.2814532317220114,0.06850163882415627,-0.04357588172325455,-0.08567167972886247,0.24758446371592424,127.0
EU,RSM RV + Log VRP,RSM,0.028897314210667213,0.1365503269551993,0.28221016564996926,0.28493785563713064,-0.2695036658780776,0.10722419717934466,-0.0452244911742202,-0.09649146138032665,0.14371117988884075,127.0
EU,ML Logistic Base,Machine Learning,0.037687646055751145,0.09529547187309821,0.4377417699239843,0.48469665222783126,-0.18159141131738044,0.20754090616037849,-0.037448014199326425,-0.0621932128104512,0.12672310727142433,127.0
EU,ML Logistic + VRP,Machine Learning,0.0339554381894005,0.09356774081075926,0.405230107338633,0.4517902103121356,-0.1848918506765771,0.18365026941504958,-0.03761241603939936,-0.06294780865927724,0.12757509416549595,127.0
EU,ML Random Forest Base,Machine Learning,0.03169021066512534,0.09785888208123834,0.36950746521368183,0.4009266750736214,-0.20463619122083299,0.15486122213312148,-0.03765210539593542,-0.06843039445281994,0.13657672818695002,127.0
EU,ML Random Forest + VRP,Machine Learning,0.030687099253590144,0.09720331547599514,0.3613228168272018,0.39211776857646174,-0.20828377429857015,0.14733312451694328,-0.037157012520623686,-0.06773342207083753,0.12686341116639158,127.0
EU,ML Gradient Boosting Base,Machine Learning,0.025566256421355682,0.09917737733556997,0.30582211112929475,0.33202077759083964,-0.21014058182690787,0.1216626326961183,-0.03808699903795287,-0.06958921725824051,0.20730253317017136,127.0
EU,ML Gradient Boosting + VRP,Machine Learning,0.029386934846727053,0.09605093384034942,0.35068220287730195,0.4090322752404369,-0.20915491514028162,0.14050319987468157,-0.0367221223283137,-0.06595335694943716,0.22661365525545746,127.0
