date,signal_date,strategy,model,features,feature_count,stress_probability,predicted_stress,actual_stress,train_stress_rate,return_threshold,rv_threshold,equity_weight,bond_weight,turnover,gross_return,net_return,next_equity_return,next_realized_variance,train_obs,fit_status,error_message
2015-06-30,2015-05-31,ML Logistic Base,Logistic,equity_ret + bond_ret + log_rv_ann + log_iv_ann,4,0.6653753634865911,1,1,0.3194444444444444,-0.0349175046305723,0.05862258689891618,0.40077478190804533,0.5992252180919546,1.0,-0.03038298522220992,-0.03138298522220992,-0.0410218437615698,0.0628930017026931,72,fitted,
2015-07-31,2015-06-30,ML Logistic Base,Logistic,equity_ret + bond_ret + log_rv_ann + log_iv_ann,4,0.8787446881158595,1,0,0.3055555555555556,-0.03527865847811474,0.05862258689891618,0.2727531871304843,0.7272468128695158,0.2560431895551222,0.027898663222543994,0.027642620032988872,0.0515112256703351,0.0529822492328385,72,fitted,
2015-08-31,2015-07-31,ML Logistic Base,Logistic,equity_ret + bond_ret + log_rv_ann + log_iv_ann,4,0.3786867258237593,0,1,0.3055555555555556,-0.03527865847811474,0.05862258689891618,0.5727879645057444,0.42721203549425557,0.6000695547505204,-0.05679833508552235,-0.05739840464027287,-0.09194350637824,0.1279502819689332,72,fitted,
2015-09-30,2015-08-31,ML Logistic Base,Logistic,equity_ret + bond_ret + log_rv_ann + log_iv_ann,4,0.8211844988132962,1,1,0.3194444444444444,-0.038269455280963295,0.05935488484773904,0.30728930071202226,0.6927106992879777,0.5309973275874442,-0.010160666933368276,-0.010691664260955719,-0.0516755617587402,0.0823564976114035,72,fitted,
2015-10-31,2015-09-30,ML Logistic Base,Logistic,equity_ret + bond_ret + log_rv_ann + log_iv_ann,4,0.6777175557110032,1,0,0.3055555555555556,-0.04061642205511968,0.062214443749082256,0.39336946657339805,0.606630533426602,0.17216033172275147,0.04631881372381067,0.04614665339208792,0.1024165959599203,0.0365764284327332,72,fitted,
2015-11-30,2015-10-31,ML Logistic Base,Logistic,equity_ret + bond_ret + log_rv_ann + log_iv_ann,4,0.5171872641569875,1,0,0.3055555555555556,-0.038269455280963295,0.062214443749082256,0.48968764150580757,0.5103123584941924,0.1926363498648191,0.014326871521123318,0.014134235171258499,0.0258086703373385,0.0234129712787885,72,fitted,
2015-12-31,2015-11-30,ML Logistic Base,Logistic,equity_ret + bond_ret + log_rv_ann + log_iv_ann,4,0.35470635270109624,0,1,0.3055555555555556,-0.038269455280963295,0.062214443749082256,0.5871761883793423,0.41282381162065773,0.1949770937470694,-0.04005609083088565,-0.04025106792463272,-0.0623051729656404,0.0659734815324954,72,fitted,
2016-01-31,2015-12-31,ML Logistic Base,Logistic,equity_ret + bond_ret + log_rv_ann + log_iv_ann,4,0.6700479571800176,1,1,0.3055555555555556,-0.04061642205511968,0.06417938591869703,0.3979712256919894,0.6020287743080106,0.37840992537470575,-0.020386521922458628,-0.020764931847833335,-0.0738720716126433,0.0827746181845228,72,fitted,
2016-02-29,2016-01-31,ML Logistic Base,Logistic,equity_ret + bond_ret + log_rv_ann + log_iv_ann,4,0.5847999259434858,1,1,0.2916666666666667,-0.04061642205511968,0.06567898162053593,0.4491200444339085,0.5508799555660915,0.10229763748383824,-0.04461442681199677,-0.044716724449480605,-0.0948839500447737,0.1126021522241248,72,fitted,
2017-03-31,2016-02-29,ML Logistic Base,Logistic,equity_ret + bond_ret + log_rv_ann + log_iv_ann,4,0.7807642605290693,1,0,0.2916666666666667,-0.04297719466943052,0.06713072711903324,0.33154144368255845,0.6684585563174416,0.23515720150270014,0.01441213990235015,0.01417698270084745,0.0546208194189314,0.005209206411731,72,fitted,
