Market,Strategy,Model Group,Gamma,Obs,Start,End,Ann. Arithmetic Mean,Ann. Geometric Return,Ann. Vol,MV CEQ Ann.,CRRA CE Ann.,Min Monthly Return,CRRA Domain Valid,Delta MV CEQ Ann. vs 60/40,Delta MV CEQ CI Low vs 60/40,Delta MV CEQ CI High vs 60/40,Delta MV CEQ Positive vs 60/40,Delta CRRA CE Ann. vs 60/40,Delta CRRA CE CI Low vs 60/40,Delta CRRA CE CI High vs 60/40,Delta CRRA CE Positive vs 60/40,Bootstrap P(Delta MV <= 0) vs 60/40,Bootstrap P(Delta CRRA <= 0) vs 60/40,Fee Eq. bps vs 60/40,CRRA Fee Eq. bps vs 60/40,Delta MV CEQ Ann. vs 1/N Equity-Bond,Delta MV CEQ CI Low vs 1/N Equity-Bond,Delta MV CEQ CI High vs 1/N Equity-Bond,Delta MV CEQ Positive vs 1/N Equity-Bond,Delta CRRA CE Ann. vs 1/N Equity-Bond,Delta CRRA CE CI Low vs 1/N Equity-Bond,Delta CRRA CE CI High vs 1/N Equity-Bond,Delta CRRA CE Positive vs 1/N Equity-Bond,Bootstrap P(Delta MV <= 0) vs 1/N Equity-Bond,Bootstrap P(Delta CRRA <= 0) vs 1/N Equity-Bond,Fee Eq. bps vs 1/N Equity-Bond,CRRA Fee Eq. bps vs 1/N Equity-Bond
US,Synthetic Pure VRP Proxy,Exploratory Synthetic VRP,1.0,232,2007-04-30,2026-07-31,0.3294765048989021,0.37442697397030145,0.12127520322321873,0.32212266744048557,0.3744269739703028,-0.091866777189454,True,0.2449514297295902,0.19748996076704625,0.30165909116811396,True,0.2944743477983476,0.2336113910388377,0.37288012581725194,True,0.0,0.0,2449.514297295902,2944.7434779834757,0.25238907226034946,0.20463381030720448,0.30989112940832647,True,0.3024229445288009,0.23969326886804418,0.38284899111035675,True,0.0,0.0,2523.8907226034944,3024.229445288009
US,Buy-and-Hold Equity,Benchmark,1.0,232,2007-04-30,2026-07-31,0.11684994748395197,0.10993337970096806,0.15510803046323177,0.10482069692686055,0.10993337970096939,-0.165186659453372,True,0.027649459215965178,-0.004665456711170633,0.055573778563456536,False,0.029980753529014192,-0.004983179605326471,0.06309353173386019,False,0.0485,0.049,276.4945921596518,299.8075352901419,0.03508710174672447,-0.005211336567592257,0.06992105114819724,False,0.03792935025946753,-0.005555035966493866,0.07883397143500126,False,0.0435,0.0445,350.8710174672447,379.2935025946753
US,Direct Short Variance 10% Vol,Direct Variance Approximation,1.0,232,2007-04-30,2026-07-31,0.11143140809877372,0.09882000010320291,0.1661198960769169,0.09763349816247088,0.09882000010320202,-0.391054056406473,True,0.02046226045157551,-0.05833603309380246,0.0835872099918045,False,0.018867373931246822,-0.06654679020882649,0.09188794924225795,False,0.285,0.316,204.62260451575509,188.67373931246823,0.0278999029823348,-0.05316747011011349,0.0922132111958778,False,0.02681597066170016,-0.06187140493212766,0.10077283793011202,False,0.2325,0.2595,278.999029823348,268.15970661700163
US,Direct Short Variance 10% Vol (VRP > 0),Direct Variance Approximation,1.0,232,2007-04-30,2026-07-31,0.09476508464268682,0.08180825464557184,0.1606655588979054,0.08185837373469868,0.08180825464557095,-0.391054056406473,True,0.004687136023803301,-0.0739976718290208,0.06553810825049934,False,0.0018556284736157558,-0.08196340705229592,0.07091304730010946,False,0.438,0.4695,46.87136023803301,18.556284736157558,0.012124778554562593,-0.06802585498020461,0.07404505971589687,False,0.009804225204069095,-0.07685571247846783,0.08063723119074115,False,0.365,0.3955,121.24778554562593,98.04225204069095
US,60/40,Benchmark,1.0,232,2007-04-30,2026-07-31,0.08209479918668591,0.07995262617195475,0.09923267078730218,0.07717123771089537,0.0799526261719552,-0.1083128326875559,True,0.0,0.0,0.0,False,0.0,0.0,0.0,False,1.0,1.0,0.0,0.0,0.007437642530759292,-0.0005327919235492986,0.014310249413467499,False,0.007948596730453339,-0.0005694533814768032,0.01572187805068457,False,0.0345,0.0355,74.37642530759292,79.48596730453339
US,1/N Equity-Bond,Benchmark,1.0,232,2007-04-30,2026-07-31,0.07344660665719406,0.07200402944150208,0.08617437527546094,0.06973359518013608,0.07200402944150186,-0.0940771558301342,True,-0.007437642530759292,-0.014310249413467499,0.0005327919235492936,False,-0.007948596730453339,-0.015721878050684573,0.0005694533814767972,False,0.9655,0.9645,-74.37642530759292,-79.48596730453339,0.0,0.0,0.0,False,0.0,0.0,0.0,False,1.0,1.0,0.0,0.0
US,Direct Short Variance 10% Vol (High VRP),Direct Variance Approximation,1.0,232,2007-04-30,2026-07-31,0.06325163468602235,0.0623207497470144,0.07174096946754077,0.06067825133595103,0.062320749747014625,-0.1286812918599211,True,-0.01649298637494434,-0.06169514354266551,0.03519955906279232,False,-0.017631876424940574,-0.06639403372858739,0.0377956969267704,False,0.7455,0.7465,-164.9298637494434,-176.31876424940575,-0.009055343844185049,-0.052188667239381266,0.03818876661821015,False,-0.009683279694487235,-0.05537805255704241,0.04009776560237839,False,0.644,0.645,-90.55343844185049,-96.83279694487234
US,Direct Short Variance 5% Vol,Direct Variance Approximation,1.0,232,2007-04-30,2026-07-31,0.05571570404938669,0.05321120266009349,0.08305994803845841,0.05226622656531098,0.05321120266009283,-0.1955270282032365,True,-0.024905011145584396,-0.06576322290077073,0.01433542387851319,False,-0.026741423511862372,-0.06991274639623087,0.015000053773889337,False,0.8885,0.8905,-249.05011145584396,-267.4142351186237,-0.017467368614825105,-0.056854093420078,0.01829401604619808,False,-0.018792826781409033,-0.06016749854777311,0.019309064661552036,False,0.814,0.8175,-174.67368614825105,-187.92826781409033
US,Synthetic Pure VRP Proxy,Exploratory Synthetic VRP,3.0,232,2007-04-30,2026-07-31,0.3294765048989021,0.37442697397030145,0.12127520322321873,0.30741499252365256,0.35501814541009535,-0.091866777189454,True,0.2400908777643383,0.1939981311632727,0.2954325840020265,True,0.28581130824187095,0.22674879729716638,0.3620495873417811,True,0.0,0.0,2400.908777643383,2858.1130824187094,0.24510742029763247,0.19807871741078123,0.3018545000584663,True,0.29104384949233286,0.229224178643824,0.3708708506237417,True,0.0,0.0,2451.0742029763246,2910.4384949233286
US,Buy-and-Hold Equity,Benchmark,3.0,232,2007-04-30,2026-07-31,0.11684994748395197,0.10993337970096806,0.15510803046323177,0.08076219581267771,0.08276954320941665,-0.165186659453372,True,0.01343808105336343,-0.021337244891404403,0.04365884101470368,False,0.013562706041192252,-0.02271342454789808,0.04886789727689261,False,0.223,0.237,134.3808105336343,135.6270604119225,0.018454623586657615,-0.02477477354443356,0.055949364362783846,False,0.01879524729165416,-0.02637827679709189,0.06220154316422153,False,0.202,0.217,184.54623586657615,187.9524729165416
