Date,Synthetic Pure VRP Proxy,Buy-and-Hold Equity,60/40,1/N Equity-Bond,HMM RV + Log VRP (full),HMM RV + Log VRP (partial 0.25),RSM RV + Raw VRP,ML Logistic Base,ML Logistic + VRP,ML Random Forest Base,ML Random Forest + VRP,ML Gradient Boosting Base,ML Gradient Boosting + VRP
2011-04-30,0.0518920517132699,0.0289614558246773,0.0236403730798673,0.0223113919777598,0.0186096387222182,0.0186096387222182,0.0207321693483446,0.021831083472607475,0.021778624936178777,0.021507934990729942,0.021489424896924236,0.02038890668325575,0.020311635001604045
2011-05-31,0.0245818538473981,-0.0112150116711604,-0.0017810340203961,0.0005798538239209,-0.0074965795212217,0.0021325877143362,0.0018938429164458,-0.0044978191212533,-0.004517554215942563,-0.006368847166789152,-0.005952459589822911,-0.006459525196508032,-0.006020857845601952
2011-06-30,0.0051565827338171,-0.0168694270735204,-0.0119086324761157,-0.0106671692764314,-0.0143756504174555,-0.0110193923318788,-0.0121288235105183,-0.012626117163518587,-0.012636267483709112,-0.013164166885656213,-0.012638882063889148,-0.013574461767919774,-0.013228199274465939
2011-07-31,0.0067156825682157,-0.0200042753828274,-0.0052734923168119,-0.00158702148404,0.0063594147690191,0.0002699342089384,-0.0091159312907162,-0.0035981744039223678,-0.003417130261228827,-0.0038416408495121276,-0.0025983769640772654,-0.0015084265710457218,-0.0007311356136951477
2011-08-31,-0.0511930030912391,-0.0549755921765928,-0.0269379869910271,-0.019921115400807,-0.0026197669531298,-0.0123740214229544,-0.0405418441930017,-0.01933647157667013,-0.019840395804848185,-0.024312213923661393,-0.02635474425749019,-0.02957872873363689,-0.03311875337653479
2011-09-30,0.0054587679602223,-0.0694210325950378,-0.0386088106592953,-0.0308974138691966,-0.0078274554205432,-0.0179144658878836,-0.010836894765985,-0.01609662517972067,-0.015664693275994103,-0.02013384133806974,-0.021408173442224634,-0.015316125102885433,-0.016142899581805467
2011-10-31,0.0233719277313685,0.1091476617141895,0.0659457333696459,0.0551548543762661,0.0228409616659199,0.031980686368109,0.0864224711023004,0.030552229028282134,0.03196424242854933,0.031312424677413186,0.04004008217218535,0.026743314636449484,0.026345997113072853
2011-11-30,0.0001728808917371,-0.0040639721662396,-0.0037618234042391,-0.0036862102710928,-0.0034590548909386,-0.0035726534052354,-0.0039127156242304,-0.003713083941384455,-0.0036829722398731206,-0.003826813650362252,-0.0036396623280808924,-0.0035234865991193463,-0.003549856167739258
2011-12-31,0.025919005790899,0.0104483882873431,0.0116947351651962,0.0120066307101214,0.0129397821831287,0.012717269019608,0.0110723849753179,0.012512686490104605,0.012522666826385906,0.012443968557158446,0.012442787300824496,0.012820982291185185,0.012803601723917953
2012-01-31,0.0787523178462744,0.0463743287623406,0.0307087753630457,0.0267961099388796,0.0210149572627865,0.0183369911173826,0.0383769584441834,0.027337885674211495,0.027337124314291413,0.028881973401335925,0.027407180517658464,0.02934498762639961,0.027432585463029714
