Market,Strategy,Gamma,Obs,Start,End,Ann. Arithmetic Mean,Ann. Geometric Return,Ann. Vol,MV CEQ Ann.,CRRA CE Ann.,Min Monthly Return,CRRA Domain Valid,Delta MV CEQ vs 60/40,Delta MV CEQ vs 1/N
US,Direct Short Variance 5% Vol,1.0,232,2007-04-30,2026-07-31,0.055715704049387055,0.053211202660093715,0.08305994803845848,0.05226622656531134,0.05321120266009283,-0.1955270282032365,True,-0.024905011145584036,-0.017467368614824744
US,Direct Short Variance 10% Vol,1.0,232,2007-04-30,2026-07-31,0.11143140809877411,0.09882000010320335,0.16611989607691696,0.09763349816247126,0.09882000010320202,-0.391054056406473,True,0.020462260451575884,0.027899902982335176
US,Direct Short Variance 10% Vol (VRP > 0),1.0,232,2007-04-30,2026-07-31,0.09476508464268714,0.08180825464557229,0.16066555889790546,0.08185837373469898,0.08180825464557095,-0.391054056406473,True,0.004687136023803606,0.012124778554562898
US,Direct Short Variance 10% Vol (High VRP),1.0,232,2007-04-30,2026-07-31,0.0632516346860225,0.062320749747014625,0.07174096946754084,0.060678251335951186,0.062320749747014625,-0.1286812918599211,True,-0.016492986374944188,-0.009055343844184896
US,Direct Short Variance 5% Vol,3.0,232,2007-04-30,2026-07-31,0.055715704049387055,0.053211202660093715,0.08305994803845848,0.04536727159715991,0.04406975227239873,-0.1955270282032365,True,-0.02195684316215437,-0.016940300628860185
US,Direct Short Variance 10% Vol,3.0,232,2007-04-30,2026-07-31,0.11143140809877411,0.09882000010320335,0.16611989607691696,0.07003767828986555,0.04715836714579402,-0.391054056406473,True,0.0027135635305512718,0.007730106063845457
US,Direct Short Variance 10% Vol (VRP > 0),3.0,232,2007-04-30,2026-07-31,0.09476508464268714,0.08180825464557229,0.16066555889790546,0.05604495191872265,0.03317692576201203,-0.391054056406473,True,-0.011279162840591633,-0.006262620307297448
US,Direct Short Variance 10% Vol (High VRP),3.0,232,2007-04-30,2026-07-31,0.0632516346860225,0.062320749747014625,0.07174096946754084,0.05553148463580856,0.05640596779991358,-0.1286812918599211,True,-0.011792630123505725,-0.0067760875902115394
US,Direct Short Variance 5% Vol,5.0,232,2007-04-30,2026-07-31,0.055715704049387055,0.053211202660093715,0.08305994803845848,0.03846831662900849,0.032862525773266205,-0.1955270282032365,True,-0.019008675178724697,-0.01641323264289564
US,Direct Short Variance 10% Vol,5.0,232,2007-04-30,2026-07-31,0.11143140809877411,0.09882000010320335,0.16611989607691696,0.042441858417259865,-0.035363686264141214,-0.391054056406473,True,-0.01503513339047332,-0.012439690854644261
US,Direct Short Variance 10% Vol (VRP > 0),5.0,232,2007-04-30,2026-07-31,0.09476508464268714,0.08180825464557229,0.16066555889790546,0.03023153010274632,-0.04567472881216372,-0.391054056406473,True,-0.027245461704986863,-0.024650019169157805
US,Direct Short Variance 10% Vol (High VRP),5.0,232,2007-04-30,2026-07-31,0.0632516346860225,0.062320749747014625,0.07174096946754084,0.05038471793566593,0.04999041732875087,-0.1286812918599211,True,-0.007092273872067255,-0.004496831336238197
US,Direct Short Variance 5% Vol,10.0,232,2007-04-30,2026-07-31,0.055715704049387055,0.053211202660093715,0.08305994803845848,0.021220929208629932,-0.008553095600823069,-0.1955270282032365,True,-0.011638255220150509,-0.015095562677984259
US,Direct Short Variance 10% Vol,10.0,232,2007-04-30,2026-07-31,0.11143140809877411,0.09882000010320335,0.16611989607691696,-0.026547691264254367,-0.447609153287455,-0.391054056406473,True,-0.05940687569303481,-0.06286418315086856
US,Direct Short Variance 10% Vol (VRP > 0),10.0,232,2007-04-30,2026-07-31,0.09476508464268714,0.08180825464557229,0.16066555889790546,-0.034302024437194496,-0.44879789912779466,-0.391054056406473,True,-0.06716120886597493,-0.0706185163238087
US,Direct Short Variance 10% Vol (High VRP),10.0,232,2007-04-30,2026-07-31,0.0632516346860225,0.062320749747014625,0.07174096946754084,0.037517801185309355,0.0310632026266473,-0.1286812918599211,True,0.004658616756528913,0.0012013092986951635
EU,Direct Short Variance 5% Vol,1.0,170,2011-06-30,2026-07-31,0.0674292673732994,0.0678122136100443,0.056855719238036985,0.06581298096826216,0.06781221361004408,-0.07390090518037117,True,0.030280955074498177,0.03318377766088704
EU,Direct Short Variance 10% Vol,1.0,170,2011-06-30,2026-07-31,0.1348585347465988,0.135973043259211,0.11371143847607397,0.12839338912644985,0.13597304325921034,-0.14780181036074233,True,0.09286136323268587,0.09576418581907473
EU,Direct Short Variance 10% Vol (VRP > 0),1.0,170,2011-06-30,2026-07-31,0.12836753359111835,0.13078430819374431,0.0969590268794511,0.12366700714441328,0.13078430819374365,-0.1360247217935008,True,0.08813498125064931,0.09103780383703816
EU,Direct Short Variance 10% Vol (High VRP),1.0,170,2011-06-30,2026-07-31,0.06553441380498909,0.06433288685606153,0.07644154643360092,0.06261275879440889,0.0643328868560602,-0.1360247217935008,True,0.02708073290064491,0.02998355548703377
EU,Direct Short Variance 5% Vol,3.0,170,2011-06-30,2026-07-31,0.0674292673732994,0.0678122136100443,0.056855719238036985,0.06258040815818768,0.06420510353669173,-0.07390090518037117,True,0.038713049063453686,0.03877582200093988
EU,Direct Short Variance 10% Vol,3.0,170,2011-06-30,2026-07-31,0.1348585347465988,0.135973043259211,0.11371143847607397,0.11546309788615189,0.11977851356599833,-0.14780181036074233,True,0.0915957387914179,0.0916585117289041
EU,Direct Short Variance 10% Vol (VRP > 0),3.0,170,2011-06-30,2026-07-31,0.12836753359111835,0.13078430819374431,0.0969590268794511,0.11426595425100318,0.11927769246249453,-0.1360247217935008,True,0.09039859515626919,0.09046136809375538
EU,Direct Short Variance 10% Vol (High VRP),3.0,170,2011-06-30,2026-07-31,0.06553441380498909,0.06433288685606153,0.07644154643360092,0.05676944877324853,0.05745284560099129,-0.1360247217935008,True,0.03290208967851454,0.032964862616000734
EU,Direct Short Variance 5% Vol,5.0,170,2011-06-30,2026-07-31,0.0674292673732994,0.0678122136100443,0.056855719238036985,0.05934783534811319,0.060419028935721375,-0.07390090518037117,True,0.0471451430524092,0.04436786634099272
EU,Direct Short Variance 10% Vol,5.0,170,2011-06-30,2026-07-31,0.1348585347465988,0.135973043259211,0.11371143847607397,0.10253280664585392,0.10191254887151358,-0.14780181036074233,True,0.09033011435014993,0.08755283763873345
