Date,ML Logistic Base,ML Logistic + VRP,ML Random Forest Base,ML Random Forest + VRP,ML Gradient Boosting Base,ML Gradient Boosting + VRP
2011-04-30,1.0,1.0,1.0,1.0,1.0,1.0
2011-05-31,0.3262414608529729,0.33506221641284406,0.5171846584761892,0.48723964934402253,0.6795542518755064,0.6560239442786213
2011-06-30,0.10367184165032794,0.10282516108701589,0.17000046029497695,0.23182573290593633,0.0839974312321683,0.1085584667868531
2011-07-31,0.20061006651610036,0.21286639029746124,0.2669762429132956,0.2383028485725398,0.4853109347086295,0.46674377835711534
2011-08-31,0.11821711856251449,0.09264216026255184,0.016864238451840485,0.137517304616392,0.2973604001091741,0.4354643552666757
2011-09-30,0.3734388340115877,0.4004290801960031,0.414500733328947,0.4368037992031258,0.6886318274254741,0.7661510254149473
2011-10-31,0.06341413017241765,0.026029772899576198,0.15131738543772072,0.02433871884340405,0.10484556096044528,0.1311528613119033
2011-11-30,0.1449383770032977,0.1160961051718884,0.2231589570908627,0.04360740236748728,0.02650656358093545,0.04752955796988273
2011-12-31,0.036419302471522974,0.044902659629214414,0.1754721608959669,0.11729882419972149,0.06277053270362665,0.07112930761002256
2012-01-31,0.39421039979226485,0.40664920700507357,0.5249493860937597,0.40536589295105574,0.7285492983433386,0.6194070164813015
2012-02-29,0.2934709843748351,0.2923105542673623,0.20497365224057962,0.28456358934641135,0.11934718609919615,0.24777940034026247
2012-03-31,0.010115270438668666,0.016157310344121933,0.011887110011421287,0.09732543304227681,0.037501585691072536,0.05906503451896894
2012-04-30,0.02447895930482269,0.03442344951802179,0.0994308296900237,0.053708534805968045,0.17629715920269984,0.12987568528149684
2012-05-31,0.0232848012705007,0.023534962605518794,0.13900883344003212,0.15166964537956296,0.23298180677891533,0.25820323433670866
2012-06-30,0.18317910780107005,0.17292016948875166,0.1324752913098528,0.15873783051031887,0.22534804512549655,0.22925957420257514
2012-07-31,0.01630014111492417,0.00911855564434827,0.10091209498017095,0.14903909315013064,0.192613689495305,0.24775049355601642
2012-08-31,0.1382144342818783,0.15671116744681157,0.10874648728462732,0.022779225262681058,0.10134725198420158,0.10973484753992424
2012-09-30,0.09671613041592764,0.09977035873749873,0.29364412443585186,0.24430258500289503,0.22673700981412437,0.22228845479974702
2012-10-31,0.0019086117758015941,0.002736002650120861,0.07947021597338089,0.04552667876720129,0.17072025368938637,0.1485288272542178
2012-11-30,0.06457594644750575,0.058771810830074545,0.3019264857375412,0.14295814135534224,0.44027034040335455,0.34083738385351925
2012-12-31,0.0007943200656215232,0.010563359733374522,0.12130866508936089,0.10586485420585778,0.23449708585583573,0.16959310598957655
2013-01-31,0.006358869132711442,0.01548175561407028,0.15332709675356915,0.10748093518412172,0.04138396095973862,0.04870134865725073
