Date,Buy-and-Hold Equity,60/40,1/N Equity-Bond,HMM RV,HMM RV + Log VRP,RSM Returns Only,RSM RV,RSM RV + Raw VRP,RSM RV + Log VRP,Synthetic Pure VRP Proxy
2015-09-30,-0.085084699613786,-0.0529579675390946,-0.0449174358498409,-0.0220189383979355,-0.0222268809466774,-0.0680466545073714,-0.0677820143348801,-0.0452821225567286,-0.0680172941967427,-0.1410190319312246
2015-10-31,0.0186296284780547,0.0131134084481142,0.0117357037715056,0.0076035758821077,0.0075984008313792,0.013878068233035,0.0064788488282812,0.0070931489221658,0.0065137882680904,-0.1240859556446666
2015-11-30,0.0432262411488284,0.027283377109661,0.0233014609827583,0.0113796824386901,0.0113803347825583,0.0331299151620101,0.0282609868173839,0.0287262971850641,0.0230741538152443,-0.0950050230694193
2015-12-31,-0.0544587752438217,-0.0311434525290729,-0.0253084180486696,-0.0077742930772419,-0.0077773064052732,-0.0406517579149319,-0.0335625480396813,-0.034560808637156,-0.0355830280925332,-0.0426273811959304
2016-03-31,0.0238121153163179,0.0162271230147079,0.0143327212906002,0.0087357561909731,0.0088166948889034,0.0190292590780715,0.0187099464980742,0.0110046106295825,0.0109235984362589,-0.0996611051182916
2016-04-30,-0.0227851342852654,-0.0093484832170885,-0.0059858680989706,0.0041089904792867,0.0040931101101396,-0.015138349328597,-0.0150963691762286,-0.0152518512659929,-0.0103825735756731,-0.0619459513281016
2016-05-31,0.0268582957161227,0.0132698594613922,0.0098760427451273,-0.0002833513315715,-0.000281364095704,0.0192291286216157,0.0191635861030691,0.0185782002139296,0.0188956900793778,-0.075673015873847
2016-06-30,0.0020345319779446,0.0041983329256776,0.0047398239479651,0.0063661357731122,0.0063636055597582,0.0032302258171329,0.0032247138206219,0.00327900816578,0.0035387872605322,-0.0579218467583079
2016-07-31,-0.0512411139825313,-0.0228803347585241,-0.0157826130810056,0.0055357288120866,0.0055273070648333,-0.0357159505398507,-0.0356987786016184,-0.0180670791111129,-0.0358458587291715,-0.0918938420464507
2016-08-31,0.0082967130024573,0.0060234285889042,0.0054556701365623,0.0037552857536774,0.0037551886716617,0.0069232516157203,0.0069108268798971,0.0063774114724546,0.006922361437873,-0.0778562906985804
2016-09-30,0.0594293771977636,0.0358863191730659,0.030006067851574,0.0123999730083986,0.0124056305625644,0.0463746944926246,0.0463247165677924,0.0391163733300997,0.0462881999076697,-0.0722546849869991
2016-12-31,0.0117308616132547,0.0013626545958932,-0.0012268452721966,-0.0089807158725439,-0.008980750760157,0.0056104108640836,0.0056715875021576,0.005046845454576,0.0056107989282228,-0.06009814721793
2017-01-31,0.090069111087863,0.0543295982438314,0.0454028232393033,0.0186733432672367,0.0186796881787845,0.0530827445993829,0.0703668513112004,0.0582262757251904,0.070262926427839,-0.0819016116117202
2017-02-28,-0.0048285128799836,-0.0066610586686786,-0.0071187355262672,-0.0084892271314905,-0.0084893723852801,-0.0092681792145259,-0.0061272636687166,-0.0073092399605254,-0.0063633519874316,-0.2123615891478793
2017-03-31,0.0444657588234065,0.0239905622366826,0.0188766307244071,0.003565596218069,0.003563988998097,0.0153441794022381,0.0326203248858537,0.0314824658936126,0.0025791580673502,-0.1535265989585303
2017-04-30,0.0152915284610737,0.015278208203594,0.0152748814152508,0.0152621296093828,0.0152643824253719,0.0151833273482146,0.0152696877476889,0.0149120240444376,0.014123186918737,-0.0336977829515315
